window_id,pool,declared_regime,measured_regime,realized_vol_annualised_pct,regime_stress_threshold_pct,dutch_auction_lp_net_vs_hook_quote,dutch_auction_lp_net_vs_fixed_fee_quote,dutch_auction_trigger_rate,dutch_auction_fill_rate
uni_weth_3000_month_23580043_23587242_w15,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,121.81749266232318,100.0,-3.469446951953614e-18,0.09037566699362341,0.0,
uni_weth_3000_month_23587243_23594442_w16,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,117.3178433596636,100.0,-6.938893903907228e-18,0.09550304463004661,0.0,
uni_weth_3000_month_23594443_23601642_w17,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,134.56076318947544,100.0,-8.326672684688674e-17,0.32805748974822846,0.0,
uni_weth_3000_month_23601643_23608842_w18,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,59.24480839946524,100.0,-4.336808689942018e-19,0.03672833758790234,0.0,
uni_weth_3000_month_23608843_23616042_w19,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,105.2927210242401,100.0,-1.3877787807814457e-17,0.15461906611312248,0.0,
uni_weth_3000_month_23616043_23623242_w20,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,85.42974927463888,100.0,5.551115123125783e-17,0.3331565626786529,0.0,
uni_weth_3000_month_23623243_23630442_w21,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,113.92587167826254,100.0,1.3877787807814457e-17,0.17795042169648068,0.0,
uni_weth_3000_month_23630443_23637642_w22,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,99.23956910447662,100.0,-1.3877787807814457e-17,0.23351810374081172,0.0,
uni_weth_3000_month_23637643_23644842_w23,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,78.2629510249836,100.0,1.3877787807814457e-17,0.1290745391380178,0.0,
uni_weth_3000_month_23644843_23652042_w24,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,79.23588875717202,100.0,3.469446951953614e-18,0.07791373618044112,0.0,
uni_weth_3000_month_23652043_23659242_w25,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,39.91017095151409,100.0,1.734723475976807e-18,0.13887062673323455,0.0,
uni_weth_3000_month_23659243_23666442_w26,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,87.2618119315787,100.0,3.469446951953614e-17,0.2565665356119387,0.0,
uni_weth_3000_month_23666443_23673642_w27,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,88.3433531993067,100.0,-6.938893903907228e-18,0.1285380038123552,0.0,
uni_weth_3000_month_23673643_23680842_w28,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,94.17014135062713,100.0,6.938893903907228e-18,0.10594137009050097,0.0,
uni_weth_3000_month_23680843_23688042_w29,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,129.93251694096602,100.0,1.734723475976807e-18,0.20876338715419676,0.0,
