window_id,window_family,pool,regime,declared_regime,realized_vol_annualised_pct,prefix_swap_count,old_lp_uplift_vs_hook_quote,new_lp_uplift_vs_hook_quote,delta_lp_uplift_vs_hook_quote,old_trigger_rate,new_trigger_rate,delta_trigger_rate,old_fill_rate,new_fill_rate,old_failclosed_rate,new_failclosed_rate
wbtc_weth_500_normal_4h_p06,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,54.57746643249227,282,-8.326672684688674e-17,-8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p01,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,normal,,12,-2.168404344971009e-19,-2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p02,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,15.100358661885826,32,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p03,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,52.445561500027274,52,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p04,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p05,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,93,1.0408340855860843e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p06,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,113,1.0408340855860843e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p01,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,stress,,12,-1.3552527156068805e-20,-1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p02,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,2.474527554243495,25,1.3010426069826053e-18,1.3010426069826053e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p03,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,38,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_2h_p04,weth_usdc_3000_stress_2h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,51,8.673617379884035e-18,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p01,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,2.474527554243495,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p02,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,45,8.673617379884035e-18,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p03,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,31.843359525920285,73,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p04,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,42.861152580227326,100,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p05,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,40.1782960203091,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_stress_6h_p06,weth_usdc_3000_stress_6h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,41.50052717375139,155,-6.938893903907228e-17,-6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_500_normal_4h_p01,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,normal,,60,-2.7755575615628914e-17,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_500_normal_4h_p02,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,normal,,190,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_500_normal_4h_p03,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,15.100358661885826,319,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_500_normal_4h_p04,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,44.79719778766866,449,0.0632231975174212,0.09942047021188291,0.03619727269446171,0.0016629711751662971,0.0005543237250554324,-0.0011086474501108647,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p05,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,52.445561500027274,578,0.06322319751742059,0.0994204702118823,0.03619727269446171,0.0012975778546712802,0.00043252595155709344,-0.0008650519031141868,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p06,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,52.445561500027274,708,0.06322319751741995,0.09942047021188177,0.036197272694461824,0.0010563380281690142,0.00035211267605633805,-0.0007042253521126762,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p07,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,51.61142835259878,837,0.06322319751742045,0.09942047021188216,0.03619727269446171,0.0008949880668257757,0.0002983293556085919,-0.0005966587112171838,1.0,1.0,0.0,0.0
weth_usdc_500_normal_4h_p08,weth_usdc_500_normal_4h,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,51.61142835259878,967,0.06322319751742045,0.09942047021188216,0.03619727269446171,0.0007755946225439504,0.0002585315408479835,-0.000517063081695967,1.0,1.0,0.0,0.0
