abstain_notional_usd,abstain_positive_lp_loss_usd,all_horizons_observed,all_horizons_observed_rate,any_label_disagreement,any_label_disagreement_rate,count,dimension,group,legacy_abstain,legacy_benign,legacy_toxic,missing_economic_accounting,missing_economic_accounting_rate,missing_usd_conversion,missing_usd_conversion_rate,notional_usd,positive_lp_loss_usd,primary_observed,primary_observed_rate,resolved_label_conflict,resolved_label_conflict_rate,v3_abstain,v3_abstain_rate,v3_benign,v3_benign_rate,v3_toxic,v3_toxic_rate
44650690.21973954,54247.022638287446,19218,0.8936941964285714,10784,0.5014880952380952,21504,pool_month_direction_regime,wbtc_usdc_500|2025-10|zero_for_one|normal,13902,1914,5688,0,0.0,1645,0.07649739583333333,90188443.51297294,504103.403266745,19859,0.9235026041666666,367,0.01706659226190476,11953,0.5558500744047619,5873,0.2731119791666667,3678,0.17103794642857142
4301873.449972716,9281.130292340704,547,0.8139880952380952,290,0.43154761904761907,672,pool_month_direction_regime,wbtc_usdc_500|2025-10|zero_for_one|stress,418,70,184,0,0.0,125,0.18601190476190477,11531328.261400545,86577.62455870298,547,0.8139880952380952,8,0.011904761904761904,356,0.5297619047619048,150,0.22321428571428573,166,0.24702380952380953
156801948.27739915,148131.4053987506,8143,0.9182453766350924,4349,0.4904149751917005,8868,pool_month_direction_regime,weth_usdc_3000|2025-10|one_for_zero|normal,6221,724,1923,0,0.0,539,0.06078033378439333,392070524.07562774,1556441.7396245268,8329,0.9392196662156067,44,0.004961659900766802,3618,0.40798376184032475,1441,0.16249436175011275,3809,0.42952187640956246
28039951.777410865,41294.85713741928,1187,0.8484631879914224,795,0.5682630450321658,1399,pool_month_direction_regime,weth_usdc_3000|2025-10|one_for_zero|stress,887,153,359,0,0.0,172,0.12294496068620443,83039641.1716653,385204.5987458937,1227,0.8770550393137956,0,0.0,596,0.4260185847033595,325,0.23230879199428162,478,0.3416726233023588
129376389.46618763,132613.91835153347,12719,0.9279200408550375,6664,0.48617494710731746,13707,pool_month_direction_regime,weth_usdc_3000|2025-10|zero_for_one|normal,9716,1145,2846,0,0.0,736,0.05369519223754286,376851522.0320914,1809371.7210504438,12971,0.9463048077624572,93,0.00678485445392865,5905,0.4308017801123514,2530,0.18457722331655357,5272,0.38462099657109505
26111610.09888299,24805.883068080264,1481,0.8453196347031964,968,0.5525114155251142,1752,pool_month_direction_regime,weth_usdc_3000|2025-10|zero_for_one|stress,1312,64,376,0,0.0,215,0.12271689497716895,79264793.81637503,2052539.752752229,1537,0.877283105022831,7,0.003995433789954338,785,0.4480593607305936,299,0.170662100456621,668,0.3812785388127854
8209600.4218895305,14418.787560127194,907,0.976318622174381,503,0.5414424111948332,929,pool_month_direction_regime,weth_usdc_3000|2026-01|one_for_zero|stress,612,71,246,0,0.0,8,0.008611410118406888,30837251.665012747,135991.15421794297,921,0.9913885898815931,7,0.007534983853606028,276,0.29709364908503766,255,0.2744886975242196,398,0.4284176533907427
6361560.2336289985,4144.502938923862,1594,0.886047804335742,1153,0.6409116175653141,1799,pool_month_direction_regime,weth_usdc_3000|2026-01|zero_for_one|stress,1278,87,434,0,0.0,128,0.07115063924402446,32002572.628409002,425684.8266962817,1671,0.9288493607559756,16,0.008893829905503057,563,0.3129516397998888,362,0.20122290161200668,874,0.4858254585881045
7449793.0748174535,31438.463257763833,1180,0.9007633587786259,683,0.5213740458015267,1310,pool_month_direction_regime,weth_usdc_3000|2026-02|one_for_zero|stress,836,72,402,0,0.0,95,0.07251908396946564,18596909.916606963,99487.31439824824,1215,0.9274809160305344,12,0.00916030534351145,631,0.4816793893129771,241,0.18396946564885497,438,0.33435114503816793
5228365.524737002,3285.4600316909073,1696,0.9123184507799892,851,0.4577729962345347,1859,pool_month_direction_regime,weth_usdc_3000|2026-02|zero_for_one|stress,1335,142,382,0,0.0,130,0.06993006993006994,15739573.273721972,96815.70280563454,1729,0.9300699300699301,1,0.0005379236148466917,817,0.4394835933297472,338,0.18181818181818182,704,0.378698224852071
3452734.335432087,3331.0013604175265,729,0.9158291457286433,406,0.5100502512562815,796,pool_month_direction_regime,weth_usdc_3000|2026-03|one_for_zero|stress,526,25,245,0,0.0,59,0.07412060301507538,9264945.147961373,56604.938368675226,737,0.9258793969849246,1,0.001256281407035176,339,0.4258793969849246,84,0.10552763819095477,373,0.4685929648241206
2674279.6068830024,3322.229886961726,1033,0.9085312225153914,539,0.47405452946350046,1137,pool_month_direction_regime,weth_usdc_3000|2026-03|zero_for_one|stress,837,46,254,0,0.0,95,0.08355321020228672,8767839.705770008,50847.0648611514,1042,0.9164467897977133,4,0.003518029903254178,510,0.44854881266490765,161,0.14160070360598065,466,0.4098504837291117
3634389.498356402,2977.689747050901,541,0.7897810218978102,374,0.545985401459854,685,pool_month_direction_regime,weth_usdc_3000|2026-04|one_for_zero|stress,470,14,201,0,0.0,118,0.17226277372262774,7145728.359696617,17544.26007091532,567,0.8277372262773722,4,0.00583941605839416,338,0.49343065693430654,77,0.11240875912408758,270,0.39416058394160586
3730748.9838419985,5215.478486878929,866,0.7589833479404031,583,0.5109553023663453,1141,pool_month_direction_regime,weth_usdc_3000|2026-04|zero_for_one|stress,758,65,318,0,0.0,227,0.19894829097283084,8861610.715046016,29461.04856315235,914,0.8010517090271692,3,0.0026292725679228747,588,0.5153374233128835,178,0.15600350569675722,375,0.32865907099035935
2025790.5270342657,878.7325929669402,348,0.7631578947368421,267,0.5855263157894737,456,pool_month_direction_regime,weth_usdc_3000|2026-05|one_for_zero|stress,253,26,177,0,0.0,98,0.2149122807017544,3776682.6439108304,8065.983598705769,358,0.7850877192982456,2,0.0043859649122807015,252,0.5526315789473685,60,0.13157894736842105,144,0.3157894736842105
987319.2081449997,554.8089744584414,637,0.7873918417799752,434,0.5364647713226205,809,pool_month_direction_regime,weth_usdc_3000|2026-05|zero_for_one|stress,542,50,217,0,0.0,150,0.18541409147095178,3490871.531509991,10660.071759791923,659,0.8145859085290482,22,0.027194066749072928,362,0.44746600741656367,184,0.22744128553770088,263,0.32509270704573545
2087587.002147996,2010.990691847452,621,0.8846153846153846,330,0.4700854700854701,702,pool_month_direction_regime,weth_usdc_3000|2026-06|one_for_zero|stress,499,25,178,0,0.0,71,0.10113960113960115,4801443.57722498,13054.571561838631,631,0.8988603988603988,4,0.005698005698005698,301,0.4287749287749288,90,0.1282051282051282,311,0.443019943019943
2276346.1527019953,1289.766613838337,1293,0.862,855,0.57,1500,pool_month_direction_regime,weth_usdc_3000|2026-06|zero_for_one|stress,833,169,498,0,0.0,184,0.12266666666666666,5529187.480226006,26968.91501854189,1316,0.8773333333333333,5,0.0033333333333333335,693,0.462,359,0.23933333333333334,448,0.2986666666666667
