trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
25,5,30,0.5,5000,all four pools pass,4,1.0,1.0,99.12323115063344,0.4242481161063678,98.41334753498566,99.53443163718748,66.21719655022528,46.667586954960946,29.604472539805904,6438
25,5,30,1,2500,all four pools pass,4,1.0,1.0,99.12323115063344,0.4242481161063678,98.41334753498566,99.53443163718748,66.21719655022528,46.667586954960946,29.604472539805904,6438
25,5,30,1,5000,all four pools pass,4,1.0,1.0,99.12323115063344,0.4242481161063678,98.41334753498566,99.53443163718748,66.21719655022528,46.667586954960946,29.604472539805904,6438
25,5,30,5,2500,all four pools pass,4,1.0,1.0,99.12323115063344,0.4242481161063678,98.41334753498566,99.53443163718748,66.21719655022528,46.667586954960946,29.604472539805904,6438
25,5,30,5,5000,all four pools pass,4,1.0,1.0,99.12323115063344,0.4242481161063678,98.41334753498566,99.53443163718748,66.21719655022528,46.667586954960946,29.604472539805904,6438
10,5,100,0.5,2500,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
10,5,100,0.5,5000,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
10,5,100,1,2500,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
10,5,100,1,5000,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
10,5,100,5,2500,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
10,5,100,5,5000,all four pools pass,4,1.0,1.0,99.00001959676362,1.855151773589936e-05,99.0000013579208,99.00004793730544,66.09398499635546,46.42909335278029,99.99802593943568,7414
5,1,100,0.5,2500,all four pools pass,4,1.0,1.0,98.99363495770271,0.004312565764379665,98.9863928527034,98.99763828271959,66.08760035729455,46.423743176615524,99.98505511591495,7786
