adaptive_calibration_error,benign_precision,benign_surcharge_usd,brier_score,classified_coverage,closes_gap_brier_score,closes_gap_count,closes_gap_mean_probability,closes_gap_observed_toxic_rate,confirmed_test_count,current_rule_benign_surcharge_usd,evaluation_scheme,expected_calibration_error,false_negative,false_positive,fold,log_loss,maximum_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,taxed_dollar_resolution_rate,test_count,toxic_precision,toxic_precision_confidence_lower,toxic_precision_confidence_upper,toxic_recall,toxic_surcharge_available_usd,toxic_surcharge_capture_rate,toxic_surcharge_captured_usd,true_negative,true_positive,unresolved_surcharge_usd,unresolved_taxed_count,widens_gap_brier_score,widens_gap_count,widens_gap_mean_probability,widens_gap_observed_toxic_rate,worst_case_benign_surcharge_usd
0.19988213241289807,,0.0,0.2773704824656116,0.0,0.25313954491191776,14,0.9394490170934445,0.7142857142857143,870,0.0016886096168777156,rolling_pool_held_out,0.21136919398580944,0,0,2026-01_to_2026-02:weth_usdc_3000,0.795841671226625,0.4445239369313877,0.17712936183997552,global_offset,0.37701149425287356,,3169,,0.0,1.0,0.0,701.0495740906522,0.0,0.0,0,0,0.0,0,0.2777667828461627,856,0.16466151701106363,0.37149532710280375,0.0
0.17765965919798157,,0.0,0.26677239676570036,0.0,0.22440200962272597,14,0.8697020736031842,0.7142857142857143,870,0.0016886096168777156,rolling_pool_held_out,0.18768727810984745,0,0,2026-01_to_2026-02:weth_usdc_3000,0.7542971423744524,0.4552759114691585,0.199351835054892,global_platt,0.37701149425287356,,3169,,0.0,1.0,0.0,701.0495740906522,0.0,0.0,0,0,0.0,0,0.26746537038719764,856,0.18838816292910215,0.37149532710280375,0.0
0.34974627255641755,,0.0016886096168777156,0.35603634634128817,0.013793103448275862,0.28299199451714074,14,0.995475249102557,0.7142857142857143,870,0.0016886096168777156,rolling_pool_held_out,0.3497462725564175,0,4,2026-01_to_2026-02:weth_usdc_3000,0.9525932399314109,0.5302027275385275,0.7267577668092912,identity,0.37701149425287356,0.0004877864609063931,3169,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.024390243902439025,701.0495740906522,9.53260910878073e-05,0.06682831555683402,0,8,140.39648295693704,958,0.35723099695523447,856,0.7223628547157097,0.37149532710280375,140.3981715665539
0.20512722695711472,,0.0,0.27947478640791634,0.0,0.25313954491191776,14,0.9394490170934445,0.7142857142857143,870,0.0016886096168777156,rolling_pool_held_out,0.21645194080129673,0,0,2026-01_to_2026-02:weth_usdc_3000,0.8041627596861489,0.4534139386184364,0.17188426729575884,sign_offset,0.37701149425287356,,3169,,0.0,1.0,0.0,701.0495740906522,0.0,0.0,0,0,0.0,0,0.27990550297443967,856,0.1593306382102827,0.37149532710280375,0.0
0.11030392179953095,,0.0,0.24041257390743595,0.0,0.22440200962272597,14,0.8697020736031842,0.7142857142857143,870,0.0016886096168777156,rolling_pool_held_out,0.08753297725194645,0,0,2026-01_to_2026-02:weth_usdc_3000,0.6742199967060879,0.31981353816462965,0.4629295454978382,sign_platt,0.37701149425287356,,3169,,0.0,1.0,0.0,701.0495740906522,0.0,0.0,0,0,0.0,0,0.240674428930784,856,0.4562767237764891,0.37149532710280375,0.0
0.09478181344458161,,0.0,0.19231583044146164,0.011535048802129548,0.01324764519410694,239,0.9739121642360103,0.9874476987447699,2254,0.16555644967224795,rolling_chronological,0.09123960813831986,0,0,2026-02_to_2026-03,0.5593498268955742,0.26332215067153825,0.47356174643841104,global_offset,0.41304347826086957,0.01952344511151192,8977,1.0,0.8712710781407846,1.0,0.027926960257787327,5265.133766522944,0.0008838216924572588,4.65343943654217,0,26,233.69790736537487,350,0.21355518343109825,2015,0.4142149723175047,0.34491315136476425,233.69790736537487
0.11784482542421419,,0.0,0.19418824312478924,0.0,0.024473964103643227,239,0.8920568485848437,0.9874476987447699,2254,0.16555644967224795,rolling_chronological,0.09567070374963865,0,0,2026-02_to_2026-03,0.5692050740379533,0.15341890540609504,0.4606241289215572,global_platt,0.41304347826086957,,8977,,0.0,1.0,0.0,5265.133766522944,0.0,0.0,0,0,0.0,0,0.21431812535111874,2015,0.4094517120483435,0.34491315136476425,0.0
0.29431671851496416,,0.007526741350830587,0.28743892993101233,0.03948535936113576,0.012569279104348453,239,0.9917025064768275,0.9874476987447699,2254,0.16555644967224795,rolling_chronological,0.29431671851496416,0,2,2026-02_to_2026-03,0.7694402585662954,0.43869675011777265,0.7073601967758337,identity,0.41304347826086957,0.02669241157818929,8977,0.9775280898876404,0.921723653251775,0.9938156012978714,0.09344790547798067,5265.133766522944,0.0058984629927862865,31.056196673905056,0,87,1132.702365095025,1464,0.32004133516553973,2015,0.6736342354763113,0.34491315136476425,1132.7098918363758
0.09769704771647164,,0.0,0.19277024981403462,0.0,0.015337091948796098,239,0.951428118432522,0.9874476987447699,2254,0.16555644967224795,rolling_chronological,0.09464593410442594,0,0,2026-02_to_2026-03,0.5614654665660042,0.23314022499473558,0.47267342308102267,sign_offset,0.41304347826086957,,8977,,0.0,1.0,0.0,5265.133766522944,0.0,0.0,0,0,0.0,0,0.21381567151616465,2015,0.4158881267093064,0.34491315136476425,0.0
0.11397398496229359,,0.0,0.19636469693805927,0.0,0.013332110453407126,239,0.964835458884057,0.9874476987447699,2254,0.16555644967224795,rolling_chronological,0.04751041345938596,0,0,2026-02_to_2026-03,0.5698382462203858,0.28033938893503957,0.4525279667107794,sign_platt,0.41304347826086957,,8977,,0.0,1.0,0.0,5265.133766522944,0.0,0.0,0,0,0.0,0,0.2180742692307798,2015,0.3917629589542467,0.34491315136476425,0.0
0.2589631556627776,,0.0,0.24331721102007586,0.0,0.9816562692991098,1,0.9907856828290919,0.0,472,0.15802970832141736,rolling_pool_held_out,0.22819515387995165,0,0,2026-02_to_2026-03:eurc_usdc_500,0.684929653788584,0.9907856828290919,0.40755146439860174,global_offset,0.5529661016949152,0.0,1651,,0.0,1.0,0.0,1473.66078088619,0.0,0.0,0,0,176.55548634659374,10,0.24174961217022656,471,0.40631317518749666,0.554140127388535,176.55548634659374
0.27943271310309903,,0.0,0.2581262922563281,0.0,0.8628081866949051,1,0.9288746883702371,0.0,472,0.15802970832141736,rolling_pool_held_out,0.18037020804513929,0,0,2026-02_to_2026-03:eurc_usdc_500,0.7107968093452481,0.9288746883702371,0.3921298319575898,global_platt,0.5529661016949152,,1651,,0.0,1.0,0.0,1473.66078088619,0.0,0.0,0,0,0.0,0,0.25684246657811455,471,0.390990246275185,0.554140127388535,0.0
0.3071701782182623,,0.0,0.24921518179726154,0.0,0.9948551193755739,1,0.9974242424242424,0.0,472,0.15802970832141736,rolling_pool_held_out,0.26289131883262523,0,0,2026-02_to_2026-03:eurc_usdc_500,0.6959327323793429,0.9974242424242424,0.7080876238134186,identity,0.5529661016949152,0.0,1651,,0.0,1.0,0.0,1473.66078088619,0.0,0.0,0,0,365.7278147173387,70,0.24763208214210589,471,0.7074733210138203,0.554140127388535,365.7278147173387
0.25871522782286666,,0.0,0.24295566440065872,0.0,0.9739462001493004,1,0.9868871263469295,0.0,472,0.15802970832141736,rolling_pool_held_out,0.22824155894275105,0,0,2026-02_to_2026-03:eurc_usdc_500,0.6834929714786201,0.9868871263469295,0.40865566914717794,sign_offset,0.5529661016949152,,1651,,0.0,1.0,0.0,1473.66078088619,0.0,0.0,0,0,0.0,0,0.2414036675094726,471,0.4074280015098111,0.554140127388535,0.0
0.31216293616079105,,0.0,0.2929089540529839,0.0,0.9660003521909702,1,0.9828531691921079,0.0,472,0.15802970832141736,rolling_pool_held_out,0.21629637818977307,0,0,2026-02_to_2026-03:eurc_usdc_500,0.7868240634086919,0.9828531691921079,0.3408343555779901,sign_platt,0.5529661016949152,,1651,,0.0,1.0,0.0,1473.66078088619,0.0,0.0,0,0,0.0,0,0.2914798852671283,471,0.3394712583091703,0.554140127388535,0.0
0.1867008442655391,,0.0,0.22256668914955047,0.021238938053097345,0.005369155707230645,229,0.9723752589157219,0.9956331877729258,1130,0.007525274413612847,rolling_pool_held_out,0.18739828593869193,0,0,2026-02_to_2026-03:paxg_usdc_500,0.6172176374960655,0.7349389744489857,0.5944692121428731,global_offset,0.42035398230088494,0.10093941754673112,5393,1.0,0.8620237953250198,1.0,0.05052631578947368,3217.333909423524,0.0014463649627559831,4.6534390400769166,0,24,41.44786759687243,171,0.27777005780470165,901,0.49841983954466845,0.2741398446170921,41.44786759687243
0.2008869510289671,,0.0,0.20620549963850943,0.0,0.08726397379100746,229,0.7129585626994985,0.9956331877729258,1130,0.007525274413612847,rolling_pool_held_out,0.20273119760609448,0,0,2026-02_to_2026-03:paxg_usdc_500,0.600996811607293,0.3305867866859685,0.5085144026648293,global_platt,0.42035398230088494,,5393,,0.0,1.0,0.0,3217.333909423524,0.0,0.0,0,0,0.0,0,0.23643592074736397,901,0.4565524574395915,0.2741398446170921,0.0
0.37590633276550034,,0.007525274413612847,0.347616938954143,0.05929203539823009,0.00445857098915887,229,0.9911056176973716,0.9956331877729258,1130,0.007525274413612847,rolling_pool_held_out,0.3731106674415452,0,1,2026-02_to_2026-03:paxg_usdc_500,0.9395795586558365,0.5755868763838757,0.7934646497424301,identity,0.42035398230088494,0.04517346966105796,5393,0.9850746268656716,0.9201813768022187,0.997360428265921,0.13894736842105262,3217.333909423524,0.0024024263202925243,7.729407665168718,0,66,163.5346784206581,690,0.4348347705456872,901,0.7432318177094872,0.2741398446170921,163.54220369507172
