brier_score,count,evaluation_scheme,expected_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,pool_family,probability_branch,test_month
0.0061005075375316275,12,rolling_chronological,0.05590274787963043,0.9440972521203697,global_platt,1.0,weth_usdc_3000,closes_gap,2026-06
0.252929099282458,856,rolling_chronological,0.13570055166034686,0.23702172500327484,global_platt,0.37149532710280375,weth_usdc_3000,widens_gap,2026-02
0.22201063857373174,643,rolling_chronological,0.1057148779600896,0.3940434862436044,global_platt,0.29082426127527217,weth_usdc_3000,widens_gap,2026-03
0.22503544559100302,448,rolling_chronological,0.10137340891643822,0.3647412948589746,global_platt,0.2924107142857143,weth_usdc_3000,widens_gap,2026-04
0.1993326439297308,345,rolling_chronological,0.04279093651980716,0.22967283159613486,global_platt,0.27246376811594203,weth_usdc_3000,widens_gap,2026-05
0.251921685880998,1206,rolling_chronological,0.11306828786537396,0.2890875993651401,global_platt,0.4021558872305141,weth_usdc_3000,widens_gap,2026-06
0.9996782755590671,1,rolling_chronological,0.9998391248391248,0.9998391248391248,identity,0.0,eurc_usdc_500,closes_gap,2026-02
0.9949543747474769,1,rolling_chronological,0.9974739970282318,0.9974739970282318,identity,0.0,eurc_usdc_500,closes_gap,2026-03
0.9919517429760666,1,rolling_chronological,0.9959677419354839,0.9959677419354839,identity,0.0,eurc_usdc_500,closes_gap,2026-04
0.0014792899408284004,2,rolling_chronological,0.038461538461538436,0.9615384615384616,identity,1.0,eurc_usdc_500,closes_gap,2026-05
2.4029219530949463e-05,6,rolling_chronological,0.004901960784313708,0.9950980392156863,identity,1.0,eurc_usdc_500,closes_gap,2026-06
0.20868271853735013,220,rolling_chronological,0.02787401130484552,0.723328556759391,identity,0.6954545454545454,eurc_usdc_500,widens_gap,2026-02
0.2564187600858462,471,rolling_chronological,0.20718905017396225,0.7571480798944485,identity,0.554140127388535,eurc_usdc_500,widens_gap,2026-03
0.35682736524959535,65,rolling_chronological,0.5041287565360403,0.6923002271926274,identity,0.2923076923076923,eurc_usdc_500,widens_gap,2026-04
0.19718148262389404,94,rolling_chronological,0.1720122227722787,0.5923899173297494,identity,0.723404255319149,eurc_usdc_500,widens_gap,2026-05
0.26517455267899126,76,rolling_chronological,0.2312706578693887,0.559684219206582,identity,0.7236842105263158,eurc_usdc_500,widens_gap,2026-06
0.004601780828701441,214,rolling_chronological,0.0014701400292188582,0.9967972428329572,identity,0.9953271028037384,paxg_usdc_500,closes_gap,2026-02
0.0044467568953467295,229,rolling_chronological,0.004049318532425739,0.9915838692405,identity,0.9956331877729258,paxg_usdc_500,closes_gap,2026-03
6.369213793287858e-05,133,rolling_chronological,0.006988343034265876,0.9930116569657341,identity,1.0,paxg_usdc_500,closes_gap,2026-04
5.199566074912426e-05,89,rolling_chronological,0.006776943596389917,0.9932230564036101,identity,1.0,paxg_usdc_500,closes_gap,2026-05
3.042138659351045e-05,72,rolling_chronological,0.005188523905320541,0.9948114760946795,identity,1.0,paxg_usdc_500,closes_gap,2026-06
0.4457382188690085,672,rolling_chronological,0.5192330259892306,0.7606279535254625,identity,0.28869047619047616,paxg_usdc_500,widens_gap,2026-02
0.329185280289463,901,rolling_chronological,0.3651074216751752,0.6392472662922672,identity,0.2741398446170921,paxg_usdc_500,widens_gap,2026-03
0.4556530696153695,513,rolling_chronological,0.5414909834206795,0.6896391315688277,identity,0.14814814814814814,paxg_usdc_500,widens_gap,2026-04
0.42587565918123554,239,rolling_chronological,0.5065956810353187,0.6697755973533104,identity,0.16317991631799164,paxg_usdc_500,widens_gap,2026-05
0.2870175381217641,345,rolling_chronological,0.27995384286484787,0.6231839113116883,identity,0.4405797101449275,paxg_usdc_500,widens_gap,2026-06
