base_train_count,branch,calibration_count,evaluation_scheme,fold,group_support,heldout_pool,intercept,kind,purge_seconds,slope,support,target,test_count
101825,zero_gap,2598,rolling_pool_held_out,2026-04_to_2026-05,8,paxg_usdc_500,-0.6760084659844564,platt,3600,1.104476735249136,2151,resolution,1240
101825,closes_gap,2598,rolling_pool_held_out,2026-04_to_2026-05,6,paxg_usdc_500,-1.0917508560867646,platt,3600,0.276882609357165,523,conditional_toxicity,1240
101825,widens_gap,2598,rolling_pool_held_out,2026-04_to_2026-05,6,paxg_usdc_500,-1.0031622749242048,platt,3600,0.1511387986760428,513,conditional_toxicity,1240
101825,zero_gap,2598,rolling_pool_held_out,2026-04_to_2026-05,6,paxg_usdc_500,-1.0917508560867646,platt,3600,0.276882609357165,523,conditional_toxicity,1240
90344,closes_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,8,weth_usdc_3000,2.6971902648078343,platt,3600,1.758864687335022,1036,resolution,1265
90344,widens_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,8,weth_usdc_3000,-0.20607732375839016,platt,3600,1.0264280215873776,1227,resolution,1265
90344,zero_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,8,weth_usdc_3000,-0.0890522172102504,platt,3600,0.7261816963721232,2263,resolution,1265
90344,closes_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,4,weth_usdc_3000,4.9915740856385895,platt,3600,1.00000361037805e-06,134,conditional_toxicity,1265
90344,widens_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,6,weth_usdc_3000,-0.6338758032112328,platt,3600,1.000002085706036e-06,578,conditional_toxicity,1265
90344,zero_gap,2451,rolling_pool_held_out,2026-04_to_2026-05,6,weth_usdc_3000,-2.2448001501535133,platt,3600,0.7578152012803865,712,conditional_toxicity,1265
128225,closes_gap,2999,rolling_chronological,2026-05_to_2026-06,12,,0.9113906799339249,platt,3600,1.2252254875843727,1286,resolution,6715
128225,widens_gap,2999,rolling_chronological,2026-05_to_2026-06,12,,-0.32335612210645265,platt,3600,1.7809171567055573,1248,resolution,6715
128225,zero_gap,2999,rolling_chronological,2026-05_to_2026-06,12,,-0.02148378754727852,platt,3600,0.9128420324985304,2534,resolution,6715
128225,closes_gap,2999,rolling_chronological,2026-05_to_2026-06,7,,-7.2392497394662305,platt,3600,3.400551437113265,118,conditional_toxicity,6715
128225,widens_gap,2999,rolling_chronological,2026-05_to_2026-06,11,,-0.7009933982103823,platt,3600,1.000009257853218e-06,675,conditional_toxicity,6715
128225,zero_gap,2999,rolling_chronological,2026-05_to_2026-06,11,,-1.2719239590102163,platt,3600,0.7597046627239423,793,conditional_toxicity,6715
122629,closes_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,8,eurc_usdc_500,0.8177636148984666,platt,3600,1.1416407917258795,998,resolution,570
122629,widens_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,8,eurc_usdc_500,-0.7517363240572001,platt,3600,2.929756105831153,1025,resolution,570
122629,zero_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,8,eurc_usdc_500,0.029411733905239875,platt,3600,0.8868542709814796,2023,resolution,570
122629,closes_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,6,eurc_usdc_500,3.7788676323177226,platt,3600,0.1769669900332762,116,conditional_toxicity,570
122629,widens_gap,2458,rolling_pool_held_out,2026-05_to_2026-06,7,eurc_usdc_500,-1.3768610411981919,platt,3600,0.29341840594009216,581,conditional_toxicity,570
