conditional_toxicity_count,conditional_toxicity_ece,conditional_toxicity_rate,evaluation_scheme,mean_conditional_toxicity_probability,mean_partial_interval_width,mean_resolution_probability,pool_family,probability_branch,resolution_count,resolution_ece,resolution_rate,test_month
1,0.9877131331757659,0.0,rolling_pool_held_out,0.9877131331757659,0.9587622576354449,0.04123774236455505,eurc_usdc_500,closes_gap,679,0.03976498831448141,0.0014727540500736377,2026-02
1,0.9828531691921079,0.0,rolling_pool_held_out,0.9828531691921079,0.9542492549639416,0.04575074503605829,eurc_usdc_500,closes_gap,667,0.0442514946612457,0.0014992503748125937,2026-03
1,0.9904631052843613,0.0,rolling_pool_held_out,0.9904631052843613,0.9283496143342422,0.07165038566575785,eurc_usdc_500,closes_gap,332,0.06863833747298677,0.0030120481927710845,2026-04
2,0.013393376429046477,1.0,rolling_pool_held_out,0.9866066235709535,0.9355761961588519,0.06442380384114806,eurc_usdc_500,closes_gap,289,0.05750338861623456,0.006920415224913495,2026-05
6,0.00884402606808743,1.0,rolling_pool_held_out,0.9911559739319126,0.9426526799700174,0.057347320029982635,eurc_usdc_500,closes_gap,246,0.05739673809290607,0.024390243902439025,2026-06
220,0.4295963366030472,0.6954545454545454,rolling_pool_held_out,0.26585820885149825,0.24897648663404323,0.7510235133659567,eurc_usdc_500,widens_gap,655,0.415145650770537,0.33587786259541985,2026-02
471,0.21466886907936472,0.554140127388535,rolling_pool_held_out,0.3394712583091703,0.4163726592772197,0.5836273407227802,eurc_usdc_500,widens_gap,807,0.04271161008342479,0.5836431226765799,2026-03
65,0.21029214812991703,0.2923076923076923,rolling_pool_held_out,0.3001570043776581,0.3520857934841983,0.6479142065158018,eurc_usdc_500,widens_gap,391,0.48167379730864057,0.16624040920716113,2026-04
94,0.3506376816959053,0.723404255319149,rolling_pool_held_out,0.37276657362324367,0.30750788883452973,0.6924921111654702,eurc_usdc_500,widens_gap,229,0.2820117618204921,0.4104803493449782,2026-05
76,0.5147885983735155,0.7236842105263158,rolling_pool_held_out,0.20889561215280023,0.20473872498512194,0.7952612750148781,eurc_usdc_500,widens_gap,254,0.49604867658968127,0.2992125984251969,2026-06
214,0.1059372622536526,0.9953271028037384,rolling_pool_held_out,0.8893898405500856,0.9268252081533873,0.07317479184661274,paxg_usdc_500,closes_gap,3577,0.013348121452427659,0.05982667039418507,2026-02
229,0.2826746250734271,0.9956331877729258,rolling_pool_held_out,0.7129585626994985,0.9909227671544603,0.009077232845539709,paxg_usdc_500,closes_gap,2453,0.08427784257231598,0.09335507541785569,2026-03
133,0.00879531784240295,1.0,rolling_pool_held_out,0.991204682157597,0.9887223121206908,0.011277687879309122,paxg_usdc_500,closes_gap,711,0.17578279032040958,0.18706047819971872,2026-04
89,0.4148296027632073,1.0,rolling_pool_held_out,0.5851703972367926,0.9886442738684598,0.011355726131540284,paxg_usdc_500,closes_gap,574,0.14369653867682208,0.15505226480836237,2026-05
72,0.07291810864187295,1.0,rolling_pool_held_out,0.9270818913581272,0.9473742774580812,0.052625722541918905,paxg_usdc_500,closes_gap,800,0.03737427745808109,0.09,2026-06
672,0.17798146541170018,0.28869047619047616,rolling_pool_held_out,0.4627352537236346,0.5764048087580445,0.42359519124195555,paxg_usdc_500,widens_gap,3712,0.24256070848333489,0.1810344827586207,2026-02
901,0.19037889035473585,0.2741398446170921,rolling_pool_held_out,0.46451873497182794,0.5826852619924723,0.4173147380075277,paxg_usdc_500,widens_gap,2298,0.14484797545216638,0.39208006962576153,2026-03
513,0.35669866052484683,0.14814814814814814,rolling_pool_held_out,0.504846808672995,0.3837611663996929,0.6162388336003071,paxg_usdc_500,widens_gap,837,0.06071361095146168,0.6129032258064516,2026-04
239,0.1392938280075739,0.16317991631799164,rolling_pool_held_out,0.30247374432556556,0.6210889146410258,0.3789110853589743,paxg_usdc_500,widens_gap,512,0.13073533353948,0.466796875,2026-05
345,0.04093963192683787,0.4405797101449275,rolling_pool_held_out,0.40304995683919925,0.4778411717720648,0.5221588282279352,paxg_usdc_500,widens_gap,612,0.0671198920638351,0.5637254901960784,2026-06
14,0.2557724754656255,0.7142857142857143,rolling_pool_held_out,0.8697020736031842,0.9261968621378383,0.07380313786216174,weth_usdc_3000,closes_gap,1399,0.06379598989933113,0.010007147962830594,2026-02
9,0.09919070145033004,0.8888888888888888,rolling_pool_held_out,0.9880795903392189,0.9283233836690865,0.07167661633091355,weth_usdc_3000,closes_gap,816,0.06064720456620766,0.011029411764705883,2026-03
9,0.2136611901900931,0.7777777777777778,rolling_pool_held_out,0.9914389679678709,0.9216383989156391,0.07836160108436077,weth_usdc_3000,closes_gap,600,0.06336160108436077,0.015,2026-04
27,0.03028797597579891,0.9629629629629629,rolling_pool_held_out,0.9932509389387618,0.8546383133427041,0.14536168665729593,weth_usdc_3000,closes_gap,447,0.09711566097175539,0.06040268456375839,2026-05
12,0.06978068714594529,1.0,rolling_pool_held_out,0.9302193128540548,0.9227087545292382,0.07729124547076177,weth_usdc_3000,closes_gap,1560,0.06959893777845408,0.007692307692307693,2026-06
856,0.08478139667368534,0.37149532710280375,rolling_pool_held_out,0.4562767237764891,0.4235202656357361,0.5764797343642639,weth_usdc_3000,widens_gap,1351,0.10200077525665356,0.6336047372316802,2026-02
643,0.11680383625380918,0.29082426127527217,rolling_pool_held_out,0.4076280975290813,0.6660958797357401,0.33390412026425986,weth_usdc_3000,widens_gap,970,0.33051814159287196,0.6628865979381443,2026-03
448,0.16386023813355735,0.2924107142857143,rolling_pool_held_out,0.40956560060915603,0.3830367565957885,0.6169632434042114,weth_usdc_3000,widens_gap,837,0.08171832106251493,0.5352449223416965,2026-04
345,0.0741686546105858,0.27246376811594203,rolling_pool_held_out,0.34663242272652783,0.46156910908217563,0.5384308909178243,weth_usdc_3000,widens_gap,537,0.10402720964083492,0.6424581005586593,2026-05
1206,0.005996235839073993,0.4021558872305141,rolling_pool_held_out,0.3961596513914401,0.4612367113594067,0.5387632886405932,weth_usdc_3000,widens_gap,1850,0.11712573310381612,0.6518918918918919,2026-06
