conditional_benign_surcharge_usd,conditional_classified_coverage,conditional_false_positive,conditional_taxed_dollar_resolution_rate,conditional_toxic_precision,conditional_toxic_precision_confidence_lower,conditional_toxic_rate,conditional_toxic_recall,conditional_toxic_surcharge_capture_rate,conditional_toxicity_brier_score,conditional_toxicity_ece,conditional_toxicity_log_loss,conditional_true_positive,conditional_unresolved_surcharge_usd,conditional_worst_case_benign_surcharge_usd,confirmed_test_count,current_rule_benign_surcharge_usd,dollar_weighted_partial_interval_width,evaluation_scheme,fold,identified_toxic_surcharge_lower_usd,identified_toxic_surcharge_upper_usd,mean_conditional_toxicity_probability,mean_partial_interval_width,mean_resolution_probability,mean_toxicity_lower_bound,mean_toxicity_upper_bound,partial_benign_surcharge_usd,partial_classified_coverage,partial_false_positive,partial_taxed_dollar_resolution_rate,partial_toxic_precision,partial_toxic_precision_confidence_lower,partial_toxic_recall,partial_toxic_surcharge_capture_rate,partial_true_positive,partial_unresolved_surcharge_usd,partial_worst_case_benign_surcharge_usd,resolution_brier_score,resolution_ece,resolution_log_loss,resolution_rate,test_count,usable_test_count
0.0,0.0,0,,,0.0,0.3235294117647059,0.0,0.0,0.23116514920434392,0.28218260444431753,0.6387854707899228,0,0.0,0.0,646,0.0,0.3841660188588847,rolling_pool_held_out,2026-03_to_2026-04:paxg_usdc_500,957.4906094707746,2021.6027598872024,0.6049793120374719,0.6616212275157327,0.33837877248426734,0.18006701232337774,0.8416882398391105,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.19942066310973405,0.11356515263836217,0.7149140237112402,0.417312661498708,1678,1548
0.0,0.006564551422319475,0,6.657864973382044e-06,1.0,0.4385029682449546,0.30196936542669583,0.021739130434782608,1.0749725669711246e-06,0.23399855049153392,0.16484100086552414,0.6801061868739188,3,72.11423355702743,72.11423355702743,457,1.8212596904661513e-05,0.4217988437561569,rolling_pool_held_out,2026-03_to_2026-04:weth_usdc_3000,776.6651177260301,2300.2142031361823,0.42102481353306953,0.6079226197773546,0.39207738022264543,0.18121817248474537,0.7891407922621,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.1555791960707787,0.07405371981902677,0.4579727160283779,0.3180236604036186,1826,1437
0.0,0.0,0,,,0.0,0.39949748743718594,0.0,0.0,0.1834258963802251,0.06383974693889209,0.5357281035816274,0,0.0,0.0,796,7.038680237957962e-05,0.5687284544933436,rolling_chronological,2026-04_to_2026-05,1303.6729018158528,5743.791191983029,0.4595132558941751,0.6920132668900327,0.3079867331099673,0.1463361252792639,0.8383493921692966,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.15313333426258544,0.04436289586041813,0.4616615182075862,0.3075734157650695,3053,2588
0.0,0.0,0,,,0.0,0.7291666666666666,0.0,0.0,0.31631108463830876,0.34361175866951243,0.8255927662826129,0,0.0,0.0,96,0.0,0.6874086057863498,rolling_pool_held_out,2026-04_to_2026-05:eurc_usdc_500,287.8026028713709,1636.7715883397454,0.3855549079971543,0.6579166548899914,0.34208334511000865,0.14958050275149903,0.8074971576414904,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.14310949263653622,0.1567551597818233,0.41975364443031415,0.18532818532818532,548,518
0.0,0.0,0,,,0.0,0.3902439024390244,0.0,0.0,0.1595239516109069,0.21405810835285247,0.50460716036883,0,0.0,0.0,328,0.0,0.6217811960029342,rolling_pool_held_out,2026-04_to_2026-05:paxg_usdc_500,523.0073096348622,3319.0880435791046,0.3791810678289168,0.8153585059822294,0.18464149401777066,0.05791626815344248,0.8732747741356718,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.18059719950008027,0.13561838135048057,0.6582983877947791,0.3020257826887661,1240,1086
0.0,0.0,0,,,0.0,0.3225806451612903,0.0,0.0,0.19159671425063268,0.07098376664515772,0.5688063987133494,0,0.0,0.0,372,7.038680237957962e-05,0.50576081725275,rolling_pool_held_out,2026-04_to_2026-05:weth_usdc_3000,244.59009022799256,926.2600927710074,0.393564411806448,0.6401279854078425,0.35987201459215745,0.16744160217499537,0.8075695875828379,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.16224984719236438,0.09648480510459419,0.49307419458009527,0.3780487804878049,1265,984
0.0,0.0,0,,,0.0,0.45544554455445546,0.0,0.0,0.2399362737854175,0.08882248017201173,0.6642652901217688,0,0.0,0.0,1717,0.0,0.6641689292433453,rolling_chronological,2026-05_to_2026-06,1591.376898024962,10777.656427170748,0.36662306438244374,0.6774649589766669,0.3225350410233331,0.13141147119832788,0.8088764301749948,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.13590692298707838,0.040305681123518754,0.42079467638839885,0.32262307403231866,6715,5322
0.0,0.0,0,,,0.0,0.7439024390243902,0.0,0.0,0.43780646919772703,0.4777682638145818,1.1363167203898084,0,0.0,0.0,82,0.0,0.5464075817862083,rolling_pool_held_out,2026-05_to_2026-06:eurc_usdc_500,180.79777791832484,1054.1382281509725,0.2661341752098084,0.5677923908376905,0.43220760916230955,0.1125053999184778,0.6802977907561683,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.24585756326559613,0.2792381064582854,0.7357886886611835,0.164,570,500
0.0,0.0,0,,,0.0,0.5371702637889688,0.0,0.0,0.20500386940877907,0.04646109553231155,0.5809359350424628,0,0.0,0.0,417,0.0,0.517890807714485,rolling_pool_held_out,2026-05_to_2026-06:paxg_usdc_500,1070.8704961809237,3901.930091210715,0.49353029085685585,0.7438655942570599,0.2561344057429401,0.11842956264078724,0.8622951568978471,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.15136226504873085,0.05026685262714728,0.4712751606678414,0.2953257790368272,1686,1412
0.0,0.0,0,,,0.0,0.40804597701149425,0.0,0.0,0.23816927445602,0.006624654078550557,0.6680409759514611,0,0.0,0.0,1218,0.0,0.7474688618354296,rolling_pool_held_out,2026-05_to_2026-06:weth_usdc_3000,701.6988291161355,5759.364411785193,0.4014213229329437,0.6723500214312358,0.32764997856876416,0.14863611747406916,0.820986138905305,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.13507506548447545,0.09538326955321061,0.40489773759077163,0.3571847507331378,4459,3410
