block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
24690277,1773908183,0x5cffb197cb407aa03212586491f609704d26d44c819ed870026851296ed278a0,413,burn,199500,199510,3785301839193737,0,40646976466888295
24690278,1773908195,0x74087139d29ccaa9a3501c8bbc1870d81d7c14feb5d06257d91ee390f4e37036,248,mint,199500,199510,4210963791663957,0,45217780090990312
24690286,1773908291,0x490afea9912d98057f3a7c63c2231be72c09c2d552eb2efa9d4e1aca6af28361,373,burn,199500,199510,4210963791663957,31580087,30645773190063234
24690290,1773908339,0xb6f8b732279b65af0d213fa4c6766f9a1efa58243ce622f27c7e52876e0dcaa5,299,mint,199510,199520,1476550630157520,31591935,1275587655861894
24690294,1773908387,0x2b5e4aac65eaa83f22518d03b454e2f696e963a3f07d4644493e7d5b72440dcc,472,burn,199510,199520,1476550630157520,27797792,3026839106506059
24690304,1773908507,0xa0da1fdad0b3539cbcb59c14ba4a248c3659e7cda0ab9e8b5cedc9d3fbb01db0,381,mint,199500,199510,2002392310583427,27797792,8676919744588735
24690308,1773908555,0x323aecc0f9e4d877063eaf5f7f85d6270738208e26f2fb339bb1017264c850dc,524,burn,199500,199510,2002392310583427,18695694,12875484872108138
24690312,1773908603,0xd76014fc18e9f883c4b175e7958a351aab8e2b9464dc3991c855f0bf2767c3ae,200,mint,199500,199510,2755288504892587,18695950,20959574168672880
24690314,1773908627,0x57a86fa4712e563c4dbe142b455d44c4f4c975421186d76efe953f38e0ccdef9,319,burn,199500,199510,2755288504892587,13782698,23226487933108749
24690318,1773908675,0x5374205bd2886c988f8f63c093d90ec78106883f644858a6b348f3790876799a,249,mint,198320,199900,54997077307822,47444615,69163872777382547
24690337,1773908903,0x61f77fc62ed9eaedfab348d3f52d552a95a1fb6d06c95f3d62054a8a8a235bde,426,mint,199540,199550,625139392373101,13782698,343010595645537
24690338,1773908915,0xb3d24f962a16ba69cff7f10fb65ec184087259355e519109d49004a90184896d,470,burn,199540,199550,625139392373101,11224178,1527491365881796
24690341,1773908951,0x9625b1c82b386d45e2492ea8d16ca7732c0548fca36865d7f3724dd6193c5530,258,mint,199540,199550,625172316620865,11224198,1527836313420085
24690347,1773909023,0xf34582d623678e1411fd02cefd3d519247209cca24ecbd244e4c18cc09cfa6f8,622,burn,199540,199550,625172316620865,14524461,0
24690350,1773909059,0xa33a5a82f832d5090996e60819ac9ab162771a245e39908f1f677555039d6e89,349,mint,199530,199540,3810771809110094,5312457,38522884226368002
24690353,1773909095,0x5a4b75ee36e8389f27bbbc88b33a7dcc69304f9bb6980e7476fe4bc439841a80,706,burn,199530,199540,3810771809110094,70186033,8506278353459304
24690358,1773909155,0x0715e04ac051f2e1a8f3e85fe86bc8e30b8b74cacd4a57ba8f77e956e13952bf,264,mint,199520,199530,919182860870151,2971072,8506345972206219
24690361,1773909191,0x5ce79e5f1943ab4b01f889ef60a0eb39d30320ba92d74358f9f340d1c564be79,5,burn,199520,199530,919182860870151,2971071,8506345972206218
24690365,1773909239,0x043b92c2ec141590aa68081b6864f8699a06ed719b703d32edde81f13e52fe12,86,mint,199530,199540,1470119096855707,15781970,8506345972206219
24690367,1773909263,0x70bc41993719b0f90ed2bdbd6373a2f61e008f80c2013de82cd087eb5ed94cd0,923,burn,199530,199540,1470119096855707,7600255,12292292866919763
24690371,1773909311,0x038e90868a59e7b68d67570d8cb37f68f6c470c8624177df61974bfbd681009b,153,mint,199540,199550,3380991899232512,71242220,3382717492212985
24690379,1773909407,0x1e39eba688311aa18994bce8ad52f4bc0dadf4a6ed8b2c8e4b8f2ec5e82ef01d,404,mint,199000,201360,9899682809041,40000000,5683421408276202
24690381,1773909431,0xe4690519cada583f12d0dc3f5237a72ff5d0186572bde9ac1ede76fd101e7ccd,469,burn,199540,199550,3380991899232512,71221007,3392537647599877
24690383,1773909455,0x70ee6cd399c6228866e7ea7986807b8ae36076d5badaecbf8432c871ddbc02a8,403,mint,199540,199550,3380992034675242,71221010,3392537783505132
24690386,1773909491,0xbc2360a8271061f1691f762c5c048dbd6823fcbf68c34a1f58face3df6e1dc1d,244,burn,199540,199550,3380992034675242,78549687,0
24690390,1773909539,0x3a2a7cf81f200bc74bfaad46064e00620e4ee5eaa03ddd2f99a133c4f9587db4,271,mint,199530,199540,1012156580929107,4264788,8911006796433334
24690391,1773909551,0xe9475f0e39e01323ee0ffed3f0fb07df178cb2dd332b8282c84efb04ab77975d,530,burn,199530,199540,1012156580929107,4259889,8913273960517521
24690396,1773909611,0x6f565dfc2849a02626859e906c60ef4f0f3bf2e4f861ad07ccc7b1a31b249a37,469,mint,199540,199550,3927466736313437,78547550,5878310538849451
24690399,1773909647,0xac31648cc7a6f81890fd64ab1bcc6f3582f94d87a0cded400b4bfa6b407844b4,318,burn,199540,199550,3927466736313437,69632534,10005767417705943
24690406,1773909731,0xd7ff0acb2278e09011b4584caaa13df42cde971412421d19517c083f38e7d8bf,510,burn,199510,199610,0,0,0
24690416,1773909851,0x59936b9e30c6a621edc37642b815298b1952511c8430211c5978995f959592a4,306,mint,199530,199540,4095800603750979,69633491,11826226271940818
24690421,1773909911,0x66713a62a3fc63fa83c39abd1cf7f9bc3ac4c8a9138e294c6ca22801abf1500f,400,burn,199530,199540,4095800603750979,64267256,14308462359008401
24690422,1773909923,0x9cd885447df99c110355ad3adedc9361ec4aec6d5f94a4f4125d7f8526841b30,864,mint,199530,199540,4096038996858480,64267256,14311025575529830
24690427,1773909983,0xfcf0b7c8771640c2efe034fffe9763ffc1c597235a8e4026ebdca0aedda5aa95,273,burn,199530,199540,4096038996858480,48458789,21624293142646526
24690429,1773910007,0x2701c851ce5e38ca7c658b8b88b3ffee99f2070a21d5fe954ec1ba0b0bd71e98,499,mint,199530,199540,4165540551560450,48458789,22371633480665456
24690433,1773910055,0x8100bf652ccc56a27338097aab8ad4b16752c758f3c51b91a5db0fb240910239,633,burn,199530,199540,4165540551560450,96825292,0
24690440,1773910139,0xbdfb3b65f4e44e7b4e0a7e0d11392bd59117e8ed16e68dd1d874003a33b8ce2c,665,mint,199520,199530,124237450827695,1853730,478467407931039
24690448,1773910235,0x0bfe8b7e150bc2964977b809d102d5cee878b384e127c1365163024c3f2a4a26,617,burn,199520,199530,124237450827695,1541298,622859432173930
24690451,1773910271,0x243bedcfd55d80084df5cb725c8883a12ecfd922c695498ffcd02d0296dd4372,221,mint,199520,199530,117415655588144,1382553,622913606270071
24690453,1773910295,0xf4e4db1b82fa777b2e05ee3f47588600de5f1216adc0416661b75ea0eba9e409,485,burn,199520,199530,117415655588144,411616,1071754260829743
24690460,1773910379,0xfe0d8e5e2b2394172e09f6fe599db75fa2c9026ba0b09afa2dfab1e4a8b1a3f1,428,mint,199530,199540,128374371686235,666850,1071922660274926
24690461,1773910391,0x0fc434ef4096357e0963f57dc0ad88d10197e1ff0e4c6a3ac3065925a4325e95,17,mint,199530,199540,109555915835205222400,569095890429,914789044015403728288
24690461,1773910391,0xfd7356086f4e7f84183ddb6170f91b76e52ec6c220810fcf17331540631f913a,25,burn,199530,199540,109555915835205222400,566536988035,915973273023314363596
24690461,1773910391,0x93e4ebb52431c54c11afae5e958dd50b689552d47bc30e5123e6026c97db02b8,264,burn,199530,199540,128374371686235,663851,1073310304690694
24690469,1773910487,0x4e120332f88f7f79a01f429332b95c62725dfdfabdd5b4217bfce408922681ed,228,mint,199520,199530,115731994434950,369110,1073310825317661
24690475,1773910559,0xea41b131e7a69c0dc997f96e3f03cb012343b8fdd97d2bc12f6aaa3de3e57879,228,burn,199520,199530,115731994434950,24302,1232747853658681
24690480,1773910619,0xecae7e4cef9214479b04fb85033748dd02328339cfbc9a42400a85e0ef1dc15c,223,mint,199530,199540,455886786900106,7931179,1232810836515953
24690483,1773910655,0xb1ca74e371bb5a67589617d4ff7ef2187818ecc6d15f355bec2b5d08bd74c7e5,351,burn,199530,199540,455886786900106,7931178,1232810836515952
24690484,1773910667,0xa31a3dee7dd47827215e87d874460645833448aa40be87d3acb363b53f903a1a,184,mint,199530,199540,455886786900106,7931179,1232810836515953
24690487,1773910703,0xec94f293154f72ded565f30351aa908e44532151d42fde14efba635d84481392,370,burn,199530,199540,455886786900106,1257278,4320760963733948
24690501,1773910883,0xb9c42065abeec28e54420521b21a227df48a1e3e9c9a6a4d3638d267cd42c448,236,mint,199520,199530,480831598092493,1830633,4321919524311940
24690502,1773910895,0x71e41ca320243291dc97f7ee54cbc9392ef355124c4e3cf91021b220ab34cfb6,261,burn,199520,199530,480831598092493,8057417,1443749957906375
24690505,1773910931,0x3b94f41960708dc525645ff7b90cf82b7a551652cc8cc34b26543a80c268d64b,687,mint,199000,201360,2627626092477,10753636,1445346146023121
24690512,1773911015,0x342bb0f8e5ef40fe548fd838a565e498fb4fbbe1405f22114e36f143afdd0fc3,351,mint,199510,199520,478898261578293,8014901,1443749957906378
24690517,1773911075,0x7d98d7c8d577724db058d45fa5e0317a2051fbaa0044dadf7edf0c009d6d900c,461,burn,199510,199520,478898261578293,1842165,4294084452113327
24690518,1773911087,0x66c7145e67817296f28f54638a73400bd51d7a0f18fd4de80f592122960c46b2,300,mint,199510,199520,479042964868061,1843217,4295153862253718
24690523,1773911147,0x941bd4317e68b67faeaee7003a4e85a0aaba80da5f67aea9844858860586a08d,289,burn,199510,199520,479042964868061,1843151,4295183737729329
24690525,1773911171,0x52a6ecf630017bbb74179ccbb03955a46ec65d5be5c89457830d6d274d9c2801,348,mint,199510,199520,537780844471789,3209418,4295183748938237
24690527,1773911195,0x5cbbbdde6515273cd5cfb709428576e48e28a0196165afdba838d1b5501534a6,515,burn,199510,199520,537780844471789,3209417,4295183748938236
24690528,1773911207,0x2cf5e627204a396fbc5cd8f8d43a5b40bcb3f8f82406ba5e507a89849e4010a5,161,mint,199510,199520,537780844471789,3209418,4295183748938237
24690532,1773911255,0x1a37425a7559a56be7a670ec95f24514294f034c3cd0db133a4726fd1726ad3b,263,burn,199510,199520,537780844471789,4510320,3694395834659348
24690537,1773911315,0xce32b565247543bb3aa8f5cfeb21284e9af1708afce8743f1ebb95c470ffbb71,403,mint,199500,199510,388372192287790,1031439,3694395834659349
24690538,1773911327,0xc597084f3d7c15ae76eca123310e522f4a53d98dff1814317a2f700cba1a2fdb,311,burn,199500,199510,388372192287790,1031438,3694395834659348
24690544,1773911399,0x31b6c995b88eac312cf1f04f331e641dd6492f1aec1c4a97b0be7619cb961502,328,mint,199510,199520,1017621173972286,15673851,3694395834659350
24690547,1773911435,0x72ccf93812ab9e3e3ee56c209f9c40c09e88038a3e16172ca1e51cad0f2eba20,580,burn,199510,199520,1017621173972286,18992385,2162466070353507
24690551,1773911483,0x65aef5ef0e62f905df06bfe21e44229541a20b004b3a48bc6899a40ec4270659,183,mint,199510,199520,3790144024311202,83502020,2162466070353508
24690556,1773911543,0x268cc5150ece8ac783a4316ed48e42f7cb952261b5a082ab3c3981c872e0d72c,773,burn,199510,199520,3790144024311202,72855210,7076574589684358
24690564,1773911639,0xe66d02cb27ed8547e4123b274a2c4e8bade489f839bcd47b19e11bd85577dfd0,141,mint,199530,199540,2760803896265434,48867806,7078446831217675
24690565,1773911651,0xd1959ba5034ed43950b6ee638e6dd8de7a79e2187b38b2985933807823b8d35d,1116,burn,199530,199540,2760803896265434,64173098,0
24690571,1773911723,0xfd061328bc1e0f27d0ff40c59c54276ffd1b35217ed1d927c8b1a8bbfa699e00,458,mint,199520,199530,15739960,1,103737381
24690573,1773911747,0x667fafa5b82087e966b122073525d1ceb7e6412d98a9e654ea59c6cb4a77d690,510,burn,199520,199530,15739960,0,93321179
24690574,1773911759,0x6d986098507ed4f2bffdb49469f129e3b179ac25cdd5baf2adc0a33a77f3f74d,295,mint,199520,199530,15740075,1,93321862
24690576,1773911783,0x2aab89644de5a943db6dd60f1abf1aa7e0032bbf7eea2fe3efffd721943feada,552,burn,199520,199530,15740075,0,93321861
24690577,1773911795,0x7211674c39aecb34e8bdd7de22752ec858b0f1323abb8ef0ef5c37e3f874b0ba,285,mint,199520,199530,15740075,1,93321862
24690578,1773911807,0x8bab6bb0f83e424da2c6a8eae98e6f17186cb1d7e29a68cc118b119cdbcd5962,858,burn,199520,199530,15740075,0,105462444
24690582,1773911855,0x84d679c4ad2fe12d3b009c5bf32353cb7e12a65f218c8957ab2b18f086132e72,308,mint,199520,199530,19220225,1,105467000
24690585,1773911891,0x500afb6fe773c83e6fe4795e432025be3dbc8774aa06f626a870f860787d2aff,632,burn,199520,199530,19220225,0,30447027
24690588,1773911927,0x07fc7e0adfe0d64851f03fc7fe04f90a96d524806856446af557c59eeabb1bda,164,mint,199520,199530,22352127,1,30447028
24690591,1773911963,0x360989f9758f1848f4a16fd1673ddd7d9f09f190c0378e38c6496d221b9afa2d,515,burn,199520,199530,22352127,0,0
24690592,1773911975,0xe7ef5a3318b56bf119309d1e7229edc282d177c66ac800c1f050d5f06a693b81,224,mint,199520,199530,4209577929170791,97897847,0
24690599,1773912059,0x40379aae1968de169e67e55655acea1614fe1f8e0d12bd9581b457e46ddfada9,458,burn,199520,199530,4209577929170791,97897846,0
24690600,1773912071,0x4f28c99e4b7dbf431fd80073aafa5507f2ad4567fc38f58b63a5e4f1a837aa14,159,mint,199510,199520,4207473728517384,97897846,0
24690605,1773912131,0xa31f37ef44f97253019c4fb8061012e1d7f422797a820983c177725627751798,1349,burn,199510,199520,4207473728517384,97897845,0
24690612,1773912215,0x5193d769d7e0301df4db1f8272598a19e739bdb63dd6dbf42c106f96eae4f4e9,1264,mint,199440,199450,4192774002062973,97897845,0
24690615,1773912251,0x7df16308863dd54512ecd873e5f6545b9ecdf38f53a63aaeff2ece20add1b60f,61,mint,199430,199440,41833813793342226432,243883687540,335892137056116177501
24690615,1773912251,0x52bd0254ad1bc8ec76c0a3549bfb3788725d9bd0cadd646a023adc747e58c813,81,burn,199430,199440,41833813793342226432,241816759979,336839144554100972649
24690620,1773912311,0x55b8d7dc8bc882955d99763511d543ee0b13d05ad8087303b0e75bc93e67726b,593,burn,199440,199450,4192774002062973,14786034,38105106268317259
24690629,1773912419,0x5d019e2f31ed5b8c5334ea5aa7048842fbfb2a8f95902a0fd506f53fab496ec3,534,burn,199510,199610,21567909251651726,5007063567,0
24690661,1773912803,0x7f8f625b600e98ac91726d17cfeedb74c70ebab48314a47f5911b985fd088bc6,200,mint,199450,199460,659781014992680,14786034,280579306166968
24690662,1773912815,0x56169eb0039da6502f5b4b9a56d4de06611d74b078af3e60d2fec88625a5e99a,739,burn,199450,199460,659781014992680,14786033,280579306166967
24690663,1773912827,0x423fde009e59a184a4ede79c8aa0ebb8583193055014fbe665ed3ae15d206003,288,mint,199450,199460,659875530319359,14786033,281591680045531
24690664,1773912839,0x473590aea94ecd82ae8caea7eb0532ba7183b90da60404fd1aa8542e844e566d,360,burn,199450,199460,659875530319359,14013517,636001305011453
24690668,1773912887,0x565ea8e2198475b7cd9e2ebeb52e95745ae78a1b4ac1e878d6337c93b8c44234,203,mint,199450,199460,1583687283906238,14013517,10529516355824536
24690670,1773912911,0xedec8feb03952a75fe2cfa8d708997b426e9ab811a8b565fec5016805fbcff8d,256,burn,199450,199460,1583687283906238,11755090,11566230998600905
24690671,1773912923,0xd7584ccbed7643dcbeaf31a1505c9f5e600b61b484869ebe5e6a201978458f32,128,mint,199450,199460,1641948595152165,11755090,12190254856747773
24690673,1773912947,0x25aebebadcaaadbe25d45d1f6d6f643627a3162a4864647f646142cb673c324f,369,burn,199450,199460,1641948595152165,20191523,8317834525568473
24690676,1773912983,0xcba868e8f8bdc119074cefac1fa112764be44cd4c584a1d07c766ddff065b3ad,190,mint,199450,199460,1705711855714259,20194688,8999278142151838
24690679,1773913019,0xc3f95c0ecd7c395e26ccc96d5fa985baa795488ed28979f9f58683ff62b67290,275,burn,199450,199460,1705711855714259,24178575,7170884906543233
24690684,1773913079,0xbe37eebe10103666ed019ecfdc34456c1d21676036a708d6ae8ba5ec2f46d4a3,461,mint,199450,199460,1218273206860554,24180069,1950447960196994
24690687,1773913115,0x77bd8f2f447b6151f78aa5cb9fab363d444cc5d484858149db12b8631d754070,373,burn,199450,199460,1218273206860554,28431464,0
24690695,1773913211,0x5f10c501a0fad001b20004f82b8bc1c8dfd56244fab72bb6c722fa39e161ad5d,6665,mint,199430,199440,4179306352655265,28067900,31859787504773516
24690698,1773913247,0x966a2aa5f5b588c74a54a204c0b6e4980b8d8fbdffe4579fd30685c37dfb4133,486,mint,192520,206380,5101752270149,69937958,31911816964400857
24690698,1773913247,0x21a9abef5cb53a81cc01d9cd60a19a1dcaac80c945e993e8ed4085e1abbe288b,877,burn,199430,199440,4179306352655265,55870341,19123808455816406
24690701,1773913283,0x15359b0433cf62b5b4c09f80d2acac6f1d06dcc8cc35f3c2ccba5601572e8df7,366,mint,199420,199430,4154292755038547,56246828,18687285184198156
24690702,1773913295,0xe70b34eafc4a4e384ac26ecacd005b889e4dc05820d20d2578acd15cedba7c0e,283,burn,199420,199430,4154292755038547,56246827,18687285184198155
24690710,1773913391,0x8ae7291acee82a56bcd54250ca297d52d1c720192e4b7c6a976828a254043009,122,mint,199430,199440,2517608812988124,56246827,1175121432071114
24690712,1773913415,0xad7d509a393ffc10d66ca766710967b8255c1e8b00f6e0d933ddfd8b6fde46ce,260,burn,199430,199440,2517608812988124,58813505,0
24690714,1773913439,0x1c0d6fdafe99e7941c71050aabaf520ef1a85b5188d94ab07ff6705b5bae50d2,379,mint,199420,199430,2252012794615797,13405720,17949098347270373
24690715,1773913451,0x8885c0823af15b382f97709850569a591d9597efe49c4b19ba2fa507eb388f27,326,burn,199420,199430,2252012794615797,10729250,19174178480980761
24690716,1773913463,0x38d6bb5ecc26a6d087dc0e3ffc0384264d30640f07d0690e4e02632e6471d086,155,mint,199420,199430,2252011332066812,10728213,19174638115848334
24690717,1773913475,0x3145bebf60ecfc715e49ba715802618ffd214ec8a00c8256f11d1c3e98b0f516,550,burn,199420,199430,2252011332066812,0,24085807484249714
24690720,1773913511,0xc30444f6eb85a43d0904026e2afcc3df355b6cfbfdb504a082b48e48e82e6108,546,mint,199430,199440,2028448731599788,45409784,904924658224960
24690724,1773913559,0x566c83edaf3ebbb115034353e3dedc70de14121afcdc424006d786f959c53c2f,655,burn,199430,199440,2028448731599788,19692348,12682758425347266
24690727,1773913595,0xa6a088cf4393bffeb601c1ef806bee2ee7b06092cd8aef218d15a934427d2024,151,mint,199430,199440,1779294548297862,19692348,10016924262325505
24690730,1773913631,0xb0af1356240bd54e58772e3da793d5e711001f3224ec0ebe0cf1e792ebfba28c,904,burn,199430,199440,1779294548297862,23313862,8358095395719758
24690740,1773913751,0x43f99b889848d11a586037de569b14a613b0d8b6d609f94d8013b27847317f48,478,mint,199420,199430,3317181019543880,23315229,24805309006787479
24690745,1773913811,0x45d7be7cd710da3caea89dab91b9755c9d277fa2e6ea6b627685d180caa64fc3,775,burn,199420,199430,3317181019543880,77530953,0
24690756,1773913943,0x16aabd1e90eb170e06eff4e9be35895266ce42d87052ea38d310b905415c9237,416,mint,199420,199430,3422505087280997,77551294,1116617089590499
24690757,1773913955,0xb6fb11dcdd7a5a5c5fd8a3780de7a13606e07a6c94270169412eb679ab93344f,761,burn,199320,199620,2803192672139796,1302151498,299899827444243928
24690761,1773914003,0x24a0272c2409cb8f06532389ed29456c09749bada4f66e4a9e49a9a1f3e9a2f3,542,burn,199420,199430,3422505087280997,77550758,1116861989827751
24690763,1773914027,0x3d403f9227944bb4f72d9e1b2da0fdeb5a3ede809e167e91794d121f5d3a8143,230,mint,199420,199430,3422513800661071,77550956,1116864833254645
24690768,1773914087,0x618d793ddafef728cda6dba9de94ef843dccf2df2ffde2e6ef0f19a8a0b2992d,600,burn,199420,199430,3422513800661071,52612871,12524919262103457
24690771,1773914123,0xe330aa12953d562f3983e1851a071447f6ebec7d9892468c639419d3f6de27fa,378,mint,199420,199430,3513427310278206,52612871,13497056531172972
24690773,1773914147,0x93c15398ddaa97b2c6cc125539be9a97de909ff374af9199bc74caa8c58e14b2,436,burn,199420,199430,3513427310278206,49265709,15028528477923748
24690774,1773914159,0x04a96b8b495d72e47df2a2d1c8c9e4b37876f425f9c1f1e3805961dca3f2f1f3,108,mint,199420,199430,3513427256689717,49265709,15028528248701380
24690776,1773914183,0xc5c156e579b874549e2802b5705e39d7883f005c566070f5b605a097b557ec22,490,burn,199420,199430,3513427256689717,82117726,0
24690785,1773914291,0x2d430e4d5b48f142be4dd0408d9eed00cc88cd6f2e7a7a887803a6668e28d413,801,mint,199400,199410,1317654209556598,14791028,7321958536799654
24690787,1773914315,0x191dbcdf1361451fdec12785bc7233eb6f75fd19816ec1085bd40c537909d2d5,464,burn,199400,199410,1317654209556598,0,14078546521217023
24690787,1773914315,0xbfe79896768efba588a786d7a94d94f7d27cbe47d4c74baa4bd66af9b641a6af,724,burn,193630,201980,0,0,0
24690792,1773914375,0x8595915429bfe769a550ac0b86689360aa1356481a0e25d8bacd9d111b72d3d1,354,mint,199410,199420,3721096975892765,67339025,8991215661793274
24690793,1773914387,0x0513d8ab3aedc32acee8d4bd83e328a4797821f599785e857ee67a91139c1954,257,burn,199410,199420,3721096975892765,87014990,0
24690796,1773914423,0x0274dcb01b18e4b20718a25760986482f9998940d8c07edbf1bad122077880ad,365,mint,199400,199410,493367649677642,397342,5089865847411898
24690799,1773914459,0xbdc6d2f26b7ec66577e74084af87cab2fdfe8c883c0b3b5c487b1e55d6f0fa6f,320,burn,199400,199410,493367649677642,6108310,2481186405589915
24690802,1773914495,0xe8e945b733b1052bb82eea9daaef6ed345abdf97293b64640694905a27ac6623,1207,mint,193630,201980,5577068390885,31397376,29948558287911841
24690802,1773914495,0xf0723eb150b4a91bd569080f45e8a4660bc251347b1bcb78bb07ce074464443c,1231,burn,199840,200670,0,0,0
24690805,1773914531,0xe8d0f0f74e5085b1c441d6df93dc74080ef700405a886f0155accd455b6fb91f,182,mint,199410,199420,429921708742841,4624526,2481186413333434
