study,month,window_id,window_dir,pair,fee_tier,block_start,block_end,window_idx,analysis_basis,confirmed_label_rate,dutch_auction_fallback_rate,dutch_auction_fill_rate,dutch_auction_lp_net_quote,dutch_auction_lp_net_vs_fixed_fee_quote,dutch_auction_lp_net_vs_hook_quote,dutch_auction_mean_solver_surplus_quote,dutch_auction_min_lp_uplift_quote,dutch_auction_min_lp_uplift_stale_loss_bps,dutch_auction_min_stale_loss_quote,dutch_auction_no_reference_rate,dutch_auction_oracle_failclosed_rate,dutch_auction_oracle_ranking,dutch_auction_reserve_mode,dutch_auction_solver_payment_hook_cap_multiple,dutch_auction_trigger_mode,dutch_auction_trigger_rate,exact_replay_reliable,fee_identity_holds,fee_identity_max_error_exact,fee_policy_ranking,hook_benign_mean_overcharge_bps,hook_rejected_fee_cap,hook_rejected_stale_oracle,hook_toxic_clip_rate,hook_volume_loss_rate,oracle_ranking,oracle_sources,oracle_updates,pool,primary_oracle_source,regime,replay_error_p50,replay_error_p99,replay_error_tolerance,swap_samples
study_recent,,weth_usdc_3000_month_24917826_24925025_w20,exports/study_recent/retune/s25_g5/2026_04/weth_usdc_3000_month_24917826_24925025_w20,weth_usdc,3000,24917826,24925025,20,observed_pool,0.18491921005385997,0.0,1.0,1829553.2604136714,2108.5387188743334,46.80651689553633,0.14106884726174887,0.0,100.0,1.0,0.24236983842010773,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.04488330341113106,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,168,0,0.9940828402366864,0.5439856373429084,chainlink,chainlink,32,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,557
study_recent,,weth_usdc_3000_month_24989826_24996367_w30,exports/study_recent/retune/s25_g5/2026_04/weth_usdc_3000_month_24989826_24996367_w30,weth_usdc,3000,24989826,24996367,30,observed_pool,0.19080459770114944,0.0,1.0,610179.2184991157,3523.1524649561616,49.64695443678647,0.2104742672378927,0.0,100.0,1.0,0.3839080459770115,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.059770114942528735,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,65,0,1.0,0.5333333333333333,chainlink,chainlink,25,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,435
study_recent,,weth_usdc_3000_month_24996367_25003566_w01,exports/study_recent/retune/s25_g5/2026_05/weth_usdc_3000_month_24996367_25003566_w01,weth_usdc,3000,24996367,25003566,1,observed_pool,0.2893772893772894,0.0,1.0,893354.7643178521,5268.775126990164,31.90800326410681,0.42707429402845254,0.0,100.0,1.0,0.0,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.07326007326007326,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,84,1,0.9767441860465116,0.31135531135531136,chainlink,chainlink,33,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,273
study_recent,,weth_usdc_3000_month_25068367_25075566_w11,exports/study_recent/retune/s25_g5/2026_05/weth_usdc_3000_month_25068367_25075566_w11,weth_usdc,3000,25068367,25075566,11,observed_pool,0.20476190476190476,0.0,1.0,492063.7071168438,1907.7452653233777,24.65582499332959,0.1621480197298777,0.0,100.0,1.0,0.44761904761904764,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.05238095238095238,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,59,0,0.7375,0.5880952380952381,chainlink,chainlink,23,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,420
study_recent,,weth_usdc_3000_month_25140367_25147566_w21,exports/study_recent/retune/s25_g5/2026_05/weth_usdc_3000_month_25140367_25147566_w21,weth_usdc,3000,25140367,25147566,21,observed_pool,0.36187845303867405,0.0,1.0,636590.2431790803,722.7648968613939,10.703901145723648,0.12181995327522299,0.0,100.0,1.0,0.1878453038674033,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.09668508287292818,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,99,1,0.9339622641509434,0.46408839779005523,chainlink,chainlink,26,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,362
study_recent,,weth_usdc_3000_month_25212367_25218797_w31,exports/study_recent/retune/s25_g5/2026_05/weth_usdc_3000_month_25212367_25218797_w31,weth_usdc,3000,25212367,25218797,31,observed_pool,0.3619047619047619,0.0,1.0,93152.68809909529,222.71305868162017,18.18762991912081,0.10298186565799974,0.0,100.0,1.0,0.11904761904761904,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.12857142857142856,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,18,0,0.29508196721311475,0.20476190476190476,chainlink,chainlink,22,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,210
study_recent,,weth_usdc_3000_month_25218797_25225996_w01,exports/study_recent/retune/s25_g5/2026_06/weth_usdc_3000_month_25218797_25225996_w01,weth_usdc,3000,25218797,25225996,1,observed_pool,0.38441558441558443,0.0,1.0,779852.944936538,1324.4996892334893,10.414063092670403,0.12385442797980233,0.0,100.0,1.0,0.0,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.05194805194805195,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,165,0,1.0,0.42857142857142855,chainlink,chainlink,37,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,385
study_recent,,weth_usdc_3000_month_25290797_25297996_w11,exports/study_recent/retune/s25_g5/2026_06/weth_usdc_3000_month_25290797_25297996_w11,weth_usdc,3000,25290797,25297996,11,observed_pool,0.22291993720565148,0.0,1.0,539904.2413987347,4606.200490052346,108.0243985723937,0.15847775244707535,0.0,100.0,1.0,0.25274725274725274,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.14442700156985872,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,149,1,0.9802631578947368,0.48822605965463106,chainlink,chainlink,38,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,637
study_recent,,weth_usdc_3000_month_25355597_25362796_w20,exports/study_recent/retune/s25_g5/2026_06/weth_usdc_3000_month_25355597_25362796_w20,weth_usdc,3000,25355597,25362796,20,observed_pool,0.2808798646362098,0.0,1.0,128722.97573606754,4387.159819467357,48.72618591300852,0.13802083221861727,0.0,100.0,1.0,0.11844331641285956,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.15905245346869712,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,77,2,0.6814159292035398,0.2521150592216582,chainlink,chainlink,25,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,591
study_recent,,weth_usdc_3000_month_25427597_25433938_w30,exports/study_recent/retune/s25_g5/2026_06/weth_usdc_3000_month_25427597_25433938_w30,weth_usdc,3000,25427597,25433938,30,observed_pool,0.23429541595925296,0.0,1.0,334097.8997961379,1717.1630978205358,16.31469493219629,0.10215724340995672,0.0,100.0,1.0,0.1969439728353141,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.03225806451612903,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,190,0,1.0,0.5195246179966044,chainlink,chainlink,28,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,589
study_recent,,weth_usdc_3000_month_24136052_24143251_w01,exports/study_recent/retune/s50_g0.5/2026_01/weth_usdc_3000_month_24136052_24143251_w01,weth_usdc,3000,24136052,24143251,1,observed_pool,0.2876712328767123,0.05555555555555555,0.9444444444444444,490281.2124058052,1922.9898051063647,1.3189282043022104,0.45920985871861425,0.0,100.0,1.0,0.0,0.05555555555555555,chainlink,solver_cost,1.0,auction_beats_hook,0.06164383561643835,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,58,1,0.9666666666666667,0.20205479452054795,chainlink,chainlink,28,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,292
study_recent,,weth_usdc_3000_month_24208052_24215251_w11,exports/study_recent/retune/s50_g0.5/2026_01/weth_usdc_3000_month_24208052_24215251_w11,weth_usdc,3000,24208052,24215251,11,observed_pool,0.3044397463002114,0.0,1.0,3325643.644608176,7170.383735213429,10.597924231085926,0.9741849804631048,0.0,100.0,1.0,0.09090909090909091,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.023255813953488372,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,80,0,0.9523809523809523,0.26004228329809725,chainlink,chainlink,26,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,473
study_recent,,weth_usdc_3000_month_24280052_24287251_w21,exports/study_recent/retune/s50_g0.5/2026_01/weth_usdc_3000_month_24280052_24287251_w21,weth_usdc,3000,24280052,24287251,21,observed_pool,0.3461077844311377,0.0,1.0,5504260.586593518,26356.514343922026,36.05007187463343,0.6236950554013834,0.0,100.0,1.0,0.13293413173652693,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.058682634730538925,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,233,0,0.8629629629629629,0.4119760479041916,chainlink,chainlink,56,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,835
study_recent,,weth_usdc_3000_month_24352052_24358292_w31,exports/study_recent/retune/s50_g0.5/2026_01/weth_usdc_3000_month_24352052_24358292_w31,weth_usdc,3000,24352052,24358292,31,observed_pool,0.32890070921985815,0.0,1.0,20121663.071933117,12124.428299661726,18.734651193022728,0.3327472923500592,0.0,100.0,1.0,0.01773049645390071,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.012411347517730497,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,442,0,0.9587852494577006,0.4095744680851064,chainlink,chainlink,96,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,1128
study_recent,,weth_usdc_3000_month_24358292_24365491_w01,exports/study_recent/retune/s50_g0.5/2026_02/weth_usdc_3000_month_24358292_24365491_w01,weth_usdc,3000,24358292,24365491,1,observed_pool,0.2785947712418301,0.0,1.0,6829453.808811455,21752.632369486615,309.00706725474447,0.6363999596149977,0.0,100.0,1.0,0.0,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.059640522875817,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,586,0,1.0,0.47875816993464054,chainlink,chainlink,124,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,1224
study_recent,,weth_usdc_3000_month_24423092_24430291_w10,exports/study_recent/retune/s50_g0.5/2026_02/weth_usdc_3000_month_24423092_24430291_w10,weth_usdc,3000,24423092,24430291,10,observed_pool,0.25158227848101267,0.027777777777777776,0.9722222222222222,551882.2704302103,2490.6593504012562,12.070451584761031,0.15137759954539437,0.0,100.0,1.0,0.314873417721519,0.027777777777777776,chainlink,solver_cost,1.0,auction_beats_hook,0.056962025316455694,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,128,3,1.0,0.5221518987341772,chainlink,chainlink,42,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,632
study_recent,,weth_usdc_3000_month_24487892_24495091_w19,exports/study_recent/retune/s50_g0.5/2026_02/weth_usdc_3000_month_24487892_24495091_w19,weth_usdc,3000,24487892,24495091,19,observed_pool,0.2576271186440678,0.0,1.0,669528.0842851178,2036.187567392597,52.1606788195204,0.2793240071441707,0.0,100.0,1.0,0.14745762711864407,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.07288135593220339,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,222,0,0.9779735682819384,0.523728813559322,chainlink,chainlink,40,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,590
study_recent,,weth_usdc_3000_month_24552692_24558867_w28,exports/study_recent/retune/s50_g0.5/2026_02/weth_usdc_3000_month_24552692_24558867_w28,weth_usdc,3000,24552692,24558867,28,observed_pool,0.301521438450899,0.0,1.0,1307010.9664014198,8714.303499054862,22.95226590661332,0.21228563599460984,0.0,100.0,1.0,0.1825726141078838,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.10511756569847856,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,179,0,1.0,0.43015214384508993,chainlink,chainlink,48,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,723
study_recent,,weth_usdc_3000_month_24558867_24566066_w01,exports/study_recent/retune/s50_g0.5/2026_03/weth_usdc_3000_month_24558867_24566066_w01,weth_usdc,3000,24558867,24566066,1,observed_pool,0.3818424566088118,0.0,1.0,1538205.7789535818,19930.921981010586,151.05311301420443,0.7850249962913314,0.0,100.0,1.0,0.0,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.037383177570093455,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,325,0,0.9672619047619048,0.43391188251001334,chainlink,chainlink,69,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,749
study_recent,,weth_usdc_3000_month_24630867_24638066_w11,exports/study_recent/retune/s50_g0.5/2026_03/weth_usdc_3000_month_24630867_24638066_w11,weth_usdc,3000,24630867,24638066,11,observed_pool,0.29411764705882354,0.0,1.0,1187602.581429003,3535.094644151628,12.0240140655078,0.30493393979142863,0.0,100.0,1.0,0.17873303167420815,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.05203619909502263,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,123,0,0.9461538461538461,0.45701357466063347,chainlink,chainlink,42,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,442
study_recent,,weth_usdc_3000_month_24702867_24710066_w21,exports/study_recent/retune/s50_g0.5/2026_03/weth_usdc_3000_month_24702867_24710066_w21,weth_usdc,3000,24702867,24710066,21,observed_pool,0.27391304347826084,0.0,1.0,263855.54165851854,702.5981388784712,-0.06926957698306069,0.07618895506709511,0.0,100.0,1.0,0.10434782608695652,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.004347826086956522,,,,hook_fee|linear_fee|log_fee|fixed_fee,0.0,76,0,1.0,0.43478260869565216,chainlink,chainlink,32,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,230
study_recent,,weth_usdc_3000_month_24774867_24781026_w31,exports/study_recent/retune/s50_g0.5/2026_03/weth_usdc_3000_month_24774867_24781026_w31,weth_usdc,3000,24774867,24781026,31,observed_pool,0.337890625,0.0,1.0,1378168.2762669271,4245.107784906169,8.255288251675665,0.22292851006654066,0.0,100.0,1.0,0.0859375,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.044921875,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,162,0,0.9642857142857143,0.40234375,chainlink,chainlink,39,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,512
study_recent,,weth_usdc_3000_month_24781026_24788225_w01,exports/study_recent/retune/s50_g0.5/2026_04/weth_usdc_3000_month_24781026_24788225_w01,weth_usdc,3000,24781026,24788225,1,observed_pool,0.34,0.0,1.0,1900917.234543147,2797.6995460980106,67.28864465723746,0.37851176162808403,0.0,100.0,1.0,0.0,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.07272727272727272,,,,log_fee|linear_fee|hook_fee|fixed_fee,0.0,240,4,0.9876543209876543,0.44363636363636366,chainlink,chainlink,38,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,550
study_recent,,weth_usdc_3000_month_24853026_24860225_w11,exports/study_recent/retune/s50_g0.5/2026_04/weth_usdc_3000_month_24853026_24860225_w11,weth_usdc,3000,24853026,24860225,11,observed_pool,0.29577464788732394,0.0,1.0,709846.2105632912,4585.9525321084075,57.938208431354724,0.8827565586063366,0.0,100.0,1.0,0.30633802816901406,0.0,chainlink,solver_cost,1.0,auction_beats_hook,0.017605633802816902,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,82,0,0.9534883720930233,0.5950704225352113,chainlink,chainlink,26,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,chainlink,stress,,,,284
