block_number,block_timestamp,reference_price,pool_price_before,pool_price_after,stale_gap_bps_before,stale_gap_sign,stale_loss_bps,stale_gap_bps_after,residual_gap_bps_after_trade,strategy,auction_open,auction_triggered_this_block,auction_cleared_this_block,fallback_triggered_this_block,agent_traded,auction_trigger_block,auction_clear_block,delay_blocks_if_trade,delay_seconds_if_trade,agent_profit_quote,solver_payment_quote,solver_competition_mode,n_active_solvers,winning_solver_id,winning_solver_required_quote,second_best_solver_required_quote,winning_solver_profit_quote,lp_fee_revenue_quote,gross_lvr_quote,potential_gross_lvr_quote,foregone_gross_lvr_quote,lp_net_quote,cumulative_gap_time_bps_blocks,stale_seconds_to_next_observed_block,gap_time_bps_seconds_to_next_observed_block,fail_closed,rejected_for_unprofitability,latest_oracle_move_bps,block_calendar_policy,reference_update_policy,decision_reason
23480067,1759286759,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1416.314429911845,1032,27688.63251509267,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480151,1759287791,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480151,1759287791,4157.2023140520205,4168.371093328597,4157.2023140520205,26.830070266562664,-1,13.4240373166991,0.0,0.0,dutch_auction_parameterized,False,False,False,True,True,23480067,,84,1032,46.5138993330697,0.0,single,1,,,,0.0,318.204275522637,364.7181748557067,364.7181748557067,0.0,-46.5138993330697,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,auction_expired_hook_fallback_trade
23480151,1759287791,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1443.1445001784077,24,643.9216863975039,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480153,1759287815,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480153,1759287815,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,dutch_auction_parameterized,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480153,1759287815,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1469.9745704449704,60,1609.80421599376,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23480158,1759287875,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.3001702128760347,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480158,1759287875,4157.2023140520205,4157.2023140520205,4157.2023140520205,0.0,0,,0.0,,dutch_auction_parameterized,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,272.38318691337395,0,0.0,False,False,26.830070266562664,observed_blocks_only,update_in_place,already_repriced
23480158,1759287875,4157.2023140520205,4168.371093328597,4168.371093328597,26.830070266562664,-1,13.4240373166991,26.830070266562664,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,364.7181748557067,364.7181748557067,0.0,1496.804640711533,24,643.9216863975039,False,True,26.830070266562664,observed_blocks_only,update_in_place,fixed_fee_unprofitable
