timestamp,block_number,tx_hash,log_index,price_wad,price
1760110211,23548233,0xf537da7d134f69bc3e8c10ff677f79e2d5d2ecdab9e2346f03ea8b055156eecd,437,4165639944154096445657,4165.639944154096445657
1760110271,23548238,0xe4dfe3388e1e7e71f266c8bb6f8c1d4bd313e38cd3c745fffe93aa083ecfdc48,26,4125372569173119250368,4125.372569173119250368
1760110331,23548243,0xfb97a3fcf678698389650ab41c0bc1b722640186253e8c2faa3cf5e59351e956,34,4083995216760452490448,4083.995216760452490448
1760110427,23548251,0x39f92df120c715fa5bf1a7e183a76a47922ab6f964e0bea701e09640e6d737ba,1216,4126810583365844429740,4126.81058336584442974
1760110523,23548259,0xbeec366fac406c0d43f35b1e6c19bb8b8281fd2fd5793052be7b96fd6299e9c2,196,4096963267720514627692,4096.963267720514627692
1760110715,23548275,0x352e904d5be68ab732661065b94c98ef5ec1f9356e743d3ffe65988d34292b34,59,4124615455784400444954,4124.615455784400444954
1760110871,23548288,0xed85395b448bb511fe00673572e00f1bf377ac4718a875eca6efb57a83e7dad6,571,4094312702752591714924,4094.312702752591714924
1760111015,23548300,0x0d864e8dc3e9a05f7a9cd7b937efe9a86905836cf9be29607a71430d82d6bf8c,677,4122476568880656912020,4122.47656888065691202
1760111795,23548364,0xb828e3e4a68a2a4205e2c11568a384337e20247bf7bd129fe76d5ec16f165a65,108,4100881302849702414069,4100.881302849702414069
1760112431,23548417,0x30654a38ef816f55de20cdf931973dba9709367f92e6cd9b649b65f9695536ac,277,4123445143282290620245,4123.445143282290620245
1760113115,23548474,0x4ac22d775a791825b204665b087f71f6bf7d93a29025509b602c881afc2b8499,171,4101616810613182199785,4101.616810613182199785
1760113451,23548502,0xbf00f560e05cb947e6e50f171a06c3bf2781984929d82b18622733a41df7529f,241,4125999497342858630317,4125.999497342858630317
1760115035,23548634,0x91be211911939acd64688289f55e3b1cbedba13a2ccaf8e10e37843ad0d0430b,349,4104862703485247880585,4104.862703485247880585
1760118647,23548929,0x53cbc9de9dcdc94acb06d284a4c66482f823e097d4b53d65c8512fd1977a9ee9,36,4095913043865299888671,4095.913043865299888671
1760121647,23549177,0x7578524936bdd4163e21e81ffd92919af03ae30beaeab24b31ea8671f79c8863,138,4069977515707473047880,4069.97751570747304788
1760123207,23549305,0xccf553c7ae43f5af983555d1f0c354acb30f94ca097c67a37fbf3b7dcdee1aeb,2,4048760293076469249420,4048.76029307646924942
