tick_index,liquidity_net,liquidity_gross
-48420,33114303883167836214,33157111657188963342
-48360,-25471955163900673986,44534307496681811046
-48300,18146423107992612053523,18442609319094068995733
-48240,2998891547077150057381,3058296670537180785195
-48180,-91121759848105681086,97974948199431790610
-48120,302280918610355081898,589207846490877490854
-48060,-737064739292600033002,757046124526067855040
-48000,-384884763234510270595,899000054805748634889
-47940,2119765932534449697072,2889901281387315584524
-47880,574332726344327446215,726738791980004522963
-47820,474806067464303641926,475071595003959068766
-47760,9607137023718211032,10867094085075731570
-47700,-170507488873814119267,561216774492246304441
-47640,-27516209044722338636,122385340792676514504
-47580,117921744789532114812,133009873449602799394
-47520,-714999997206773471057,768556022627531048865
-47460,-21180927200498915952909,21924251818085539566933
-47400,25649208969752431600,62449422707558537452
-47340,1127352052904339822812,1241853755626041105930
-47280,-64029674527782096374,760027699912557168996
-47220,426559562225491166351,616688747028547596089
-47160,518710692152909546010,1503897626897796537944
-47100,254293722799278500742,2089593175961688649042
-47040,367184425557311706822,651057618821181010910
-46980,-453506280869392015411,1870206287751854634575
-46920,-1227731099141040736990,1494204785720169491544
-46860,-255516035588198311715,908579105367430809143
-46800,2111435569690783736415,2698691241648555493807
-46740,-473494311901807945804,487696854067606971364
-46680,-207437608430165239584,339513668327071711880
-46620,195785431827143299623,486535431807845612661
-46560,43283663135057075756860,43467958767678879537802
-46500,-571305507074605469503,828943777841653724899
-46440,2027194574803132344534,4973745394948300523050
-46380,741276403947798935954,1045128548946517946342
-46320,-2840466079135387550826,4732029427599125127310
-46260,-957199877724201772850,1323457342953342920676
-46200,-214126913277509345881,1682949281192206693501
-46140,357197457473649035642,640357590211641045636
-46080,-97767856594615384564450,98666791981332603305898
-46020,951779045152123356457,1752576539555015327849
-45960,-768744503500545686966,904696845108107954912
-45900,297862864253473671427,427624420043653402351
-45840,-988076267244915725579,998734426898505766315
-45780,-119996565442556350731,128461923892593672299
-45720,-1489302301285349866777,4778573302317160730059
-45660,-1172050463499833234513,1278084625921827002847
-45600,-3656171471238486958833,3670156816475426046533
-45540,-40994604240735268501387,41419493541050049792125
-45480,1045703663789431642367,1045804371939867088393
-45420,-421779728784083890872,637897725960515893508
-45360,-992015534563577418282,1181470838913498535652
-45300,103057416558171009997,112733586510872831969
-45240,-264775176208025388423,282637793447495168925
-45180,-9276026136808112156,9276026136808112156
-45120,-329291714796052866413,379486297741802295001
-45060,-297233809506194872351,451273623687802858039
-45000,-179729754846009906161,365669322433868327153
-44940,-94326872092696142365,375269641366851310037
-44880,-214463629022844238796,618925424167966349760
-44820,4053484329656789982171,4303196590967912905621
-44760,-3002814213946278699829,3491225941891442792101
-44700,-586838450021023760582,1669786259862870440392
-44640,1262532486212423468958,1836431223268169885252
-44580,1492568386071877563263,2675681204265863977207
-44520,-173784926152072599617,433789789247995509889
-44460,-1739606054460511518516,2002875027944423266088
-44400,-1614873179896921052559,1767252779922506643225
