abstention_count,abstention_positive_lp_loss_usd,abstention_potential_surcharge_usd,abstention_volume_usd,adaptive_calibration_error,benign_precision,benign_surcharge_usd,brier_score,classified_coverage,closes_gap_brier_score,closes_gap_count,closes_gap_mean_probability,closes_gap_observed_toxic_rate,confirmed_test_count,current_rule_benign_surcharge_usd,evaluation_scheme,expected_calibration_error,false_negative,false_positive,fold,log_loss,maximum_calibration_error,mean_toxicity_probability,method,notional_usd_accounting_rate,observed_toxic_rate,primary_lp_loss_usd_conversion_rate,taxed_dollar_resolution_rate,test_count,toxic_lp_loss_available_usd,toxic_lp_loss_left_untaxed_rate,toxic_lp_loss_left_untaxed_usd,toxic_precision,toxic_precision_confidence_lower,toxic_precision_confidence_upper,toxic_recall,toxic_surcharge_available_usd,toxic_surcharge_capture_rate,toxic_surcharge_captured_usd,true_negative,true_positive,unresolved_surcharge_usd,unresolved_taxed_count,widens_gap_brier_score,widens_gap_count,widens_gap_mean_probability,widens_gap_observed_toxic_rate,worst_case_benign_surcharge_usd
1651,647.6351963368451,5193.4796985706935,16692055.681010993,0.18839315189881506,,0.0,0.04667462593623205,0.0,0.028205340332753726,31,0.3140806705057664,0.1935483870967742,136,84.05225952310973,rolling_pool_held_out,0.2064020961993744,0,0,2026-02_to_2026-03:eurc_usdc_500,0.23456184827225654,0.3489669926051677,0.265316228821892,global_offset,1.0,0.15441176470588236,1.0,,1651,312.1787141618256,1.0,312.1787141618256,,0.0,1.0,0.0,57.0298643795537,0.0,0.0,0,0,0.0,0,0.058856495164058165,47,0.23315244813678337,0.0,0.0
1651,647.6351963368451,5193.4796985706935,16692055.681010993,0.18434306347692267,,0.0,0.044772996614439085,0.0,0.026531648624188532,31,0.31087666294778926,0.1935483870967742,136,84.05225952310973,rolling_pool_held_out,0.20159665437503646,0,0,2026-02_to_2026-03:eurc_usdc_500,0.22853528488719582,0.3457909778762155,0.26126614039999957,global_platt,1.0,0.15441176470588236,1.0,,1651,312.1787141618256,1.0,312.1787141618256,,0.0,1.0,0.0,57.0298643795537,0.0,0.0,0,0,0.0,0,0.05680452401226393,47,0.22854430637911705,0.0,0.0
1645,647.6351963368451,5097.533750784513,16459829.210846283,0.262739796920031,,0.0,0.08376302434879469,0.0,0.05090551004414431,31,0.3779070483810904,0.1935483870967742,136,84.05225952310973,rolling_pool_held_out,0.2750464851433326,0,0,2026-02_to_2026-03:eurc_usdc_500,0.32948870664405033,0.44970230959801805,0.339662873843108,identity,1.0,0.15441176470588236,1.0,0.0,1651,312.1787141618256,1.0,312.1787141618256,,0.0,1.0,0.0,57.0298643795537,0.0,0.0,0,0,95.94594778618033,6,0.10543500186888324,47,0.3144379927648642,0.0,95.94594778618033
1651,647.6351963368451,5193.4796985706935,16692055.681010993,0.18267995914534335,,0.0,0.041839976411102694,0.0,0.0454939778252552,31,0.3651095480646444,0.1935483870967742,136,84.05225952310973,rolling_pool_held_out,0.19590979872035294,0,0,2026-02_to_2026-03:eurc_usdc_500,0.22066750955757597,0.3043579776602051,0.2596030360684202,sign_offset,1.0,0.15441176470588236,1.0,,1651,312.1787141618256,1.0,312.1787141618256,,0.0,1.0,0.0,57.0298643795537,0.0,0.0,0,0,0.0,0,0.03942989037198083,47,0.19001363453899586,0.0,0.0
1651,647.6351963368451,5193.4796985706935,16692055.681010993,0.30493702202469164,,0.0,0.1462278292430654,0.0,0.30711298668793974,31,0.6618033732902853,0.1935483870967742,136,84.05225952310973,rolling_pool_held_out,0.3259537536616334,0,0,2026-02_to_2026-03:eurc_usdc_500,0.44890244759103726,0.6145016377415405,0.3818600989477686,sign_platt,1.0,0.15441176470588236,1.0,,1651,312.1787141618256,1.0,312.1787141618256,,0.0,1.0,0.0,57.0298643795537,0.0,0.0,0,0,0.0,0,0.04011208709857384,47,0.1972166626793002,0.0,0.0
5287,20638.888807110638,16823.771210970266,2591858.3893366577,0.21858684983929486,,1.5744204085451234,0.16272783891374257,0.028182245185533115,0.1282772997448259,994,0.8205810232602926,0.8058350100603622,2129,10.89844698473975,rolling_pool_held_out,0.24455018746565382,0,20,2026-02_to_2026-03:paxg_usdc_500,0.518499375567294,0.6531690341392936,0.6141422922266048,global_offset,1.0,0.4349459840300611,1.0,0.5683698720308796,5393,19632.89981191097,0.9967810730211908,19569.702941034153,0.6666666666666666,0.5405686645211968,0.7727073847647731,0.04319654427645788,5066.203541586983,7.710285135938666e-06,0.03906187386233795,0,40,1.2253069669984267,46,0.19792191489925454,973,0.40324804901233385,0.04933196300102775,2.79972737554355
5393,20929.721449638477,16826.610000219673,2595516.339818913,0.25402545611531435,,0.0,0.18868011337443352,0.0,0.1389649808226927,994,0.7502521726901596,0.8058350100603622,2129,10.89844698473975,rolling_pool_held_out,0.27064901886376425,0,0,2026-02_to_2026-03:paxg_usdc_500,0.5627632341504856,0.4969511992398931,0.6134320989145987,global_platt,1.0,0.4349459840300611,1.0,,5393,19632.89981191097,1.0,19632.89981191097,,0.0,1.0,0.0,5066.203541586983,0.0,0.0,0,0,0.0,0,0.23946823439851403,973,0.47365907390647166,0.04933196300102775,0.0
5360,20914.41481708415,16826.544483737773,2595351.744885045,0.20661160832170883,,0.004291798470655265,0.15445839324088806,0.006575857209957727,0.12949066000545298,994,0.8073939621538981,0.8058350100603622,2129,10.89844698473975,rolling_pool_held_out,0.23427098986416328,0,7,2026-02_to_2026-03:paxg_usdc_500,0.4990111930836946,0.6272744587364021,0.5956408208754866,identity,1.0,0.4349459840300611,1.0,0.09522517401909808,5393,19632.89981191097,0.9998926184631626,19630.791600956592,0.5,0.26799202452413634,0.7320079754758637,0.00755939524838013,5066.203541586983,3.8431537605322707e-07,0.0019470199192471922,0,7,0.05927766350858394,19,0.17996499841665622,973,0.37931746791480714,0.04933196300102775,0.06356946197923921
5393,20929.721449638477,16826.610000219673,2595516.339818913,0.23339649122146633,,0.0,0.19085561407977297,0.0,0.14071772616865535,994,0.7463697987300176,0.8058350100603622,2129,10.89844698473975,rolling_pool_held_out,0.1745237747291688,0,0,2026-02_to_2026-03:paxg_usdc_500,0.5711454373481863,0.48240857437109147,0.6032527431174436,sign_offset,1.0,0.4349459840300611,1.0,,5393,19632.89981191097,1.0,19632.89981191097,,0.0,1.0,0.0,5066.203541586983,0.0,0.0,0,0,0.0,0,0.24207561467961977,973,0.4570468301894901,0.04933196300102775,0.0
5393,20929.721449638477,16826.610000219673,2595516.339818913,0.24982718897343553,,0.0,0.1812670628214171,0.0,0.13847951721632404,994,0.7703196229787257,0.8058350100603622,2129,10.89844698473975,rolling_pool_held_out,0.2830967018012035,0,0,2026-02_to_2026-03:paxg_usdc_500,0.5472878756950974,0.5020603832491171,0.6179903439718334,sign_platt,1.0,0.4349459840300611,1.0,,5393,19632.89981191097,1.0,19632.89981191097,,0.0,1.0,0.0,5066.203541586983,0.0,0.0,0,0,0.0,0,0.22497808063381433,973,0.4623733826842167,0.04933196300102775,0.0
1933,107452.00322982656,34799.9327290282,27495155.95353192,0.30467264211732614,,0.0,0.2986544782526339,0.0,0.1509602662367674,618,0.725840047015255,0.8511326860841424,1084,1140.7606593273288,rolling_pool_held_out,0.3009790112736273,0,0,2026-02_to_2026-03:weth_usdc_3000,0.8795433398704928,0.554135553513956,0.47820183862238913,global_offset,1.0,0.7739852398523985,1.0,,1933,100798.77198244732,1.0,100798.77198244732,,0.0,1.0,0.0,24567.530347134376,0.0,0.0,0,0,0.0,0,0.4949448503511404,465,0.14908267133896752,0.6731182795698925,0.0
1794,103148.46128612406,33390.25430614789,25593574.428355727,0.3323998309217106,0.5,1.0104387045597674,0.34590705174514774,0.07103321033210332,0.15586095515075207,618,0.7983933677689901,0.8511326860841424,1084,1140.7606593273288,rolling_pool_held_out,0.34145003089443393,12,3,2026-02_to_2026-03:weth_usdc_3000,1.2823875666228117,0.615261659584904,0.48064756562305505,global_platt,1.0,0.7739852398523985,1.0,0.5643748658527795,1933,100798.77198244732,0.9877033835316231,99559.28814289579,0.9433962264150944,0.8462979168981911,0.9805633385150642,0.05959475566150179,24567.530347134376,0.025370598754566286,623.2929548277768,12,50,481.88228429547394,42,0.5984844446383446,465,0.05835314470652196,0.6731182795698925,482.8927230000337
1798,105331.56209842517,33550.50596269688,25826405.616768975,0.22688164804083708,,1.903720292525848,0.2427958420335196,0.07564575645756458,0.13352951000541205,618,0.8074000403462279,0.8511326860841424,1084,1140.7606593273288,rolling_pool_held_out,0.2295471793928945,0,7,2026-02_to_2026-03:weth_usdc_3000,0.6881371906148631,0.43283078181433887,0.5755633886210089,identity,1.0,0.7739852398523985,1.0,0.5970525307564298,1933,100798.77198244732,0.9789636256587836,98678.33128188964,0.9146341463414634,0.8341245443721832,0.9580334750067581,0.08939213349225268,24567.530347134376,0.030286711037977962,744.0696925404133,0,75,503.4533534983842,53,0.38801432201926245,465,0.26744499987652415,0.6731182795698925,505.3570737909101
1632,93951.88786485358,31776.13872101629,23968501.201892726,0.32304105402201017,0.4175824175824176,1.903720292525848,0.3440227815328469,0.1595940959409594,0.1314026574637838,618,0.8188314501840632,0.8511326860841424,1084,1140.7606593273288,rolling_pool_held_out,0.32821767723743117,53,7,2026-02_to_2026-03:weth_usdc_3000,1.2520870293131303,0.6382372701775068,0.4822322304535645,sign_offset,1.0,0.7739852398523985,1.0,0.5970525307564298,1933,100798.77198244732,0.9789636256587836,98678.33128188964,0.9146341463414634,0.8341245443721832,0.9580334750067581,0.08939213349225268,24567.530347134376,0.030286711037977962,744.0696925404133,38,75,503.4533534983842,53,0.6266017851343113,465,0.03488100939238565,0.6731182795698925,505.3570737909101
1933,107452.00322982656,34799.9327290282,27495155.95353192,0.27186774677282144,,0.0,0.3270727466673195,0.0,0.11611436200571812,618,0.8567755024236268,0.8511326860841424,1084,1140.7606593273288,rolling_pool_held_out,0.29075457517407366,0,0,2026-02_to_2026-03:weth_usdc_3000,1.0892633797085551,0.6923144381701423,0.5106736116966684,sign_platt,1.0,0.7739852398523985,1.0,,1933,100798.77198244732,1.0,100798.77198244732,,0.0,1.0,0.0,24567.530347134376,0.0,0.0,0,0,0.0,0,0.6074432449917704,465,0.05069303434342026,0.6731182795698925,0.0
4285,47343.749603603464,35130.06480486584,36237232.610745884,0.10287491339092614,,0.0,0.1347217592184812,0.0,0.08054374833194597,884,0.8062263778197855,0.8744343891402715,1873,796.4051183568941,rolling_chronological,0.11111944283012305,0,0,2026-03_to_2026-04,0.43228965854518064,0.46782661390648006,0.563865678743846,global_offset,1.0,0.5162840363053924,1.0,,4285,39053.740111059175,1.0,39053.740111059175,,0.0,1.0,0.0,18194.12022249876,0.0,0.0,0,0,0.0,0,0.18649836637923486,925,0.33224745389721844,0.17405405405405405,0.0
4285,47343.749603603464,35130.06480486584,36237232.610745884,0.10888679685448184,,0.0,0.13634361500602854,0.0,0.08199566691175177,884,0.7964062870163321,0.8744343891402715,1873,796.4051183568941,rolling_chronological,0.1310672299443084,0,0,2026-03_to_2026-04,0.4369273917964354,0.46074109791908036,0.5637570167381832,global_platt,1.0,0.5162840363053924,1.0,,4285,39053.740111059175,1.0,39053.740111059175,,0.0,1.0,0.0,18194.12022249876,0.0,0.0,0,0,0.0,0,0.18828262702261303,925,0.3414197681696605,0.17405405405405405,0.0
4233,44970.19561373967,34873.86272097329,35548848.226105705,0.11391790065914384,,0.002429724328249255,0.13937908651148487,0.02189001601708489,0.07795354559633277,884,0.8211782721196642,0.8744343891402715,1873,796.4051183568941,rolling_chronological,0.12928340597717414,0,2,2026-03_to_2026-04,0.4404941968405032,0.562857142857143,0.5866440056843766,identity,1.0,0.5162840363053924,1.0,0.7816107836443714,4285,39053.740111059175,0.939223388512496,36680.18612119538,0.9512195121951219,0.8386102112962914,0.9865190546348308,0.04033092037228542,18194.12022249876,0.011006186580575894,200.24788183825035,0,39,55.95177232997344,11,0.19808198182931674,925,0.36250531213973425,0.17405405405405405,55.95420205430169
4285,47343.749603603464,35130.06480486584,36237232.610745884,0.09620033669675856,,0.0,0.12955992289770532,0.0,0.07778497738522859,884,0.8222666300348777,0.8744343891402715,1873,796.4051183568941,rolling_chronological,0.10444667795199815,0,0,2026-03_to_2026-04,0.4199026254210467,0.5047423805347773,0.5603215002482627,sign_offset,1.0,0.5162840363053924,1.0,,4285,39053.740111059175,1.0,39053.740111059175,,0.0,1.0,0.0,18194.12022249876,0.0,0.0,0,0,0.0,0,0.17903997893341284,925,0.30998691134948686,0.17405405405405405,0.0
4285,47343.749603603464,35130.06480486584,36237232.610745884,0.10554007891089656,,0.0,0.12903974259687997,0.0,0.07960002737481572,884,0.8193141543578765,0.8744343891402715,1873,796.4051183568941,rolling_chronological,0.11985737141705154,0,0,2026-03_to_2026-04,0.4210427039262014,0.48087118012733204,0.5569968456672292,sign_platt,1.0,0.5162840363053924,1.0,,4285,39053.740111059175,1.0,39053.740111059175,,0.0,1.0,0.0,18194.12022249876,0.0,0.0,0,0,0.0,0,0.17628807584693923,925,0.30630657444287007,0.17405405405405405,0.0
781,293.65845003635235,3912.3630651992553,8623160.734689858,0.2135348176987446,,0.0,0.0572808827054998,0.0,0.022971263974250408,32,0.6588465484039401,0.625,69,7.14734316165627,rolling_pool_held_out,0.2135348176987446,0,0,2026-03_to_2026-04:eurc_usdc_500,0.24984902659764097,0.35868963317006003,0.4761788863202908,global_offset,1.0,0.2898550724637681,1.0,,781,241.59957619059278,1.0,241.59957619059278,,0.0,1.0,0.0,272.42879756260464,0.0,0.0,0,0,0.0,0,0.0915905014367492,32,0.2935112242366416,0.0,0.0
781,293.65845003635235,3912.3630651992553,8623160.734689858,0.22943261360353515,,0.0,0.06403953013660776,0.0,0.02793618335237471,32,0.6560987182004917,0.625,69,7.14734316165627,rolling_pool_held_out,0.22943261360353515,0,0,2026-03_to_2026-04:eurc_usdc_500,0.2703796524847587,0.3705283200248154,0.4823198212442319,global_platt,1.0,0.2898550724637681,1.0,,781,241.59957619059278,1.0,241.59957619059278,,0.0,1.0,0.0,272.42879756260464,0.0,0.0,0,0,0.0,0,0.10014287692084081,32,0.30854092428797214,0.0,0.0
781,293.65845003635235,3912.3630651992553,8623160.734689858,0.22542089604950022,,0.0,0.0653177641297166,0.0,0.02551770641087269,32,0.6703330425460635,0.625,69,7.14734316165627,rolling_pool_held_out,0.2254208960495002,0,0,2026-03_to_2026-04:eurc_usdc_500,0.26771855195273936,0.3783328371893297,0.49262656542907246,identity,1.0,0.2898550724637681,1.0,,781,241.59957619059278,1.0,241.59957619059278,,0.0,1.0,0.0,272.42879756260464,0.0,0.0,0,0,0.0,0,0.10511782184856051,32,0.31492008831208135,0.0,0.0
781,293.65845003635235,3912.3630651992553,8623160.734689858,0.20513348478707732,,0.0,0.053165792880896505,0.0,0.026835073682947404,32,0.6754448634577355,0.625,69,7.14734316165627,rolling_pool_held_out,0.20513348478707732,0,0,2026-03_to_2026-04:eurc_usdc_500,0.23836182580097293,0.33352689912252564,0.47424448785468853,sign_offset,1.0,0.2898550724637681,1.0,,781,241.59957619059278,1.0,241.59957619059278,,0.0,1.0,0.0,272.42879756260464,0.0,0.0,0,0,0.0,0,0.07949651207884562,32,0.27304411225164166,0.0,0.0
781,293.65845003635235,3912.3630651992553,8623160.734689858,0.2549836052988299,,0.0,0.0821886155889215,0.0,0.08557483546586159,32,0.7307528638501808,0.625,69,7.14734316165627,rolling_pool_held_out,0.25498360529882985,0,0,2026-03_to_2026-04:eurc_usdc_500,0.31079514868660535,0.5002148524211026,0.5017550285693134,sign_platt,1.0,0.2898550724637681,1.0,,781,241.59957619059278,1.0,241.59957619059278,,0.0,1.0,0.0,272.42879756260464,0.0,0.0,0,0,0.0,0,0.0788023957119814,32,0.2727571932884461,0.0,0.0
