brier_score,count,evaluation_scheme,expected_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,pool_family,probability_branch,test_month
0.08433998402962728,171,rolling_chronological,0.07725174004321658,0.8261639964932057,global_platt,0.8011695906432749,paxg_usdc_500,closes_gap,2026-06
0.11277209914597178,1609,rolling_chronological,0.24819031420369955,0.28734506870960386,global_platt,0.03915475450590429,paxg_usdc_500,widens_gap,2026-02
0.08295338872536001,973,rolling_chronological,0.1645476809904243,0.21387964399145207,global_platt,0.04933196300102775,paxg_usdc_500,widens_gap,2026-03
0.14112487361171705,562,rolling_chronological,0.3542273129704556,0.35956539126227055,global_platt,0.005338078291814947,paxg_usdc_500,widens_gap,2026-04
0.06111108551093483,304,rolling_chronological,0.20912711590473787,0.2124165895889484,global_platt,0.003289473684210526,paxg_usdc_500,widens_gap,2026-05
0.03924237675184496,210,rolling_chronological,0.1481116355909764,0.15763544511478592,global_platt,0.009523809523809525,paxg_usdc_500,widens_gap,2026-06
0.17565772099268498,864,rolling_chronological,0.12145409682704854,0.8185118072013023,global_platt,0.7847222222222222,weth_usdc_3000,closes_gap,2026-02
0.1365225747571365,618,rolling_chronological,0.09112862608530793,0.778923517170809,global_platt,0.8511326860841424,weth_usdc_3000,closes_gap,2026-03
0.09437290834694627,534,rolling_chronological,0.06182048396466672,0.8001797209074248,global_platt,0.8614232209737828,weth_usdc_3000,closes_gap,2026-04
0.06245514306749143,352,rolling_chronological,0.05399868742155934,0.8051736120997376,global_platt,0.8579545454545454,weth_usdc_3000,closes_gap,2026-05
0.10584481637275067,584,rolling_chronological,0.0617957669183709,0.8450609915926641,global_platt,0.815068493150685,weth_usdc_3000,closes_gap,2026-06
0.3388978920565579,800,rolling_chronological,0.3075331502751059,0.22496684972489409,global_platt,0.5325,weth_usdc_3000,widens_gap,2026-02
0.402031561388026,465,rolling_chronological,0.4306241204560776,0.24249415911381492,global_platt,0.6731182795698925,weth_usdc_3000,widens_gap,2026-03
0.2776293046415521,331,rolling_chronological,0.16233902285436377,0.31500236687373295,global_platt,0.4773413897280967,weth_usdc_3000,widens_gap,2026-04
